准静态帧(未解锁或 |a|≈1g、角速度小): 姿态角 vs 加速度计分量
s4 n= 14582: pitch_log≈-20.89·acc_x (corr -0.40)  roll_log≈+34.57·acc_y (corr +0.71)
s5 n=  7281: pitch_log≈-1.27·acc_x (corr -0.17)  roll_log≈+7.14·acc_y (corr +0.10)
s6 n=  4206: pitch_log≈-19.97·acc_x (corr -0.63)  roll_log≈+16.22·acc_y (corr +0.41)
s7 n=  2399: pitch_log≈-0.87·acc_x (corr -0.00)  roll_log≈+54.21·acc_y (corr +0.14)
s8 n= 12477: pitch_log≈-30.13·acc_x (corr -0.71)  roll_log≈+112.42·acc_y (corr +0.94)

解读: 若 slope(pitch_log vs acc_x) < 0 → pitch_log>0 对应 acc_x<0 = 低头(前倾),
      即日志里 pitch 为负 = 抬头; 反之 pitch_log>0 = 抬头。

session 4 首次飞行 165~178s (0.2s 平均; 电机差动 = (后侧-前侧), 正=压机头)
   t   油门  pitch_log  roll_log | sp_y(期望俯仰速率)  ty(俯仰力矩)  后-前电机差  | wx     wy    | acc_x  acc_y
  165.0 0.080     -0.46    -2.46 |    +0.02      +0.005          +6 |  +0.06  -0.00 |  +0.03  -0.01
  165.2 0.080     -0.81    -2.76 |    +0.04      +0.005          +5 |  -0.02  +0.01 |  -0.00  -0.06
  165.4 0.080     -0.58    -2.51 |    +0.03      +0.001          +1 |  +0.02  +0.04 |  +0.02  -0.05
  165.6 0.080     -0.71    -2.52 |    +0.04      +0.012         +12 |  -0.05  -0.04 |  +0.02  -0.03
  165.8 0.080     -0.68    -2.48 |    +0.04      +0.004          +4 |  +0.04  +0.03 |  +0.01  -0.04
  166.0 0.080     -0.34    -2.42 |    +0.02      +0.005          +4 |  +0.01  +0.00 |  +0.01  -0.05
  166.2 0.080     -0.55    -2.37 |    +0.03      -0.000          -0 |  -0.02  +0.05 |  +0.01  -0.04
  166.4 0.080     -0.72    -2.30 |    +0.04      +0.007          +7 |  +0.01  +0.00 |  +0.00  -0.01
  166.6 0.080     -0.74    -2.21 |    +0.04      +0.020         +19 |  -0.04  -0.09 |  +0.01  -0.07
  166.8 0.092     -0.60    -2.32 |    +0.03      +0.002          +2 |  +0.06  +0.05 |  +0.00  -0.02
  167.0 0.100     -0.60    -2.18 |    +0.03      -0.002          -2 |  -0.04  +0.07 |  +0.04  -0.11
  167.2 0.100     -0.39    -1.99 |    +0.02      +0.005          +5 |  +0.01  +0.01 |  +0.02  -0.09
  167.4 0.100     -0.34    -2.08 |    +0.02      +0.001          +1 |  +0.01  +0.04 |  -0.00  +0.04
  167.6 0.100     -0.27    -1.97 |    +0.01      +0.006          +5 |  -0.01  -0.00 |  -0.00  -0.10
  167.8 0.100     -0.34    -2.10 |    +0.02      +0.005          +4 |  +0.01  +0.01 |  +0.01  -0.08
  168.0 0.100     -0.14    -2.25 |    +0.01      +0.002          +2 |  +0.03  +0.03 |  +0.02  +0.01
  168.2 0.112     -0.54    -2.02 |    +0.03      +0.004          +4 |  +0.04  +0.03 |  +0.01  -0.10
  168.4 0.120     -0.52    -1.73 |    +0.03      +0.009          +9 |  -0.02  -0.01 |  +0.02  -0.04
  168.6 0.120     -0.70    -2.00 |    +0.04      +0.011         +10 |  +0.01  -0.02 |  +0.02  -0.04
  168.8 0.120     -0.78    -1.91 |    +0.04      +0.008          +7 |  +0.04  +0.01 |  +0.02  -0.00
  169.0 0.120     -0.78    -1.84 |    +0.04      +0.008          +8 |  +0.06  +0.01 |  +0.00  -0.06
  169.2 0.122     -0.50    -2.43 |    +0.03      +0.007          +7 |  -0.01  +0.01 |  -0.01  -0.02
  169.4 0.140     -0.82    -2.74 |    +0.04      +0.004          +4 |  -0.02  +0.04 |  +0.00  -0.01
  169.6 0.140     -2.11    -3.84 |    +0.11      +0.019         +18 |  +0.21  -0.01 |  -0.04  -0.11
  169.8 0.140     -3.45    -5.47 |    +0.18      +0.030         +29 |  +0.25  -0.03 |  -0.14  +0.07
  170.0 0.140     -3.39    -4.40 |    +0.18      +0.007          +7 |  +0.25  +0.15 |  -0.03  +0.03
  170.2 0.142     -4.14    -6.40 |    +0.22      +0.013         +12 |  +0.43  +0.15 |  -0.04  +0.02
  170.4 0.160     -6.18    -5.20 |    +0.32      +0.015         +15 |  -0.05  +0.24 |  -0.03  -0.14
  170.6 0.160     -5.77    -6.17 |    +0.30      +0.059         +56 |  +0.08  -0.11 |  +0.01  +0.09
  170.8 0.160    -13.28    -1.61 |    +0.69      +0.083         +80 |  +0.03  +0.07 |  +0.03  -0.07
  171.0 0.160    -12.98    +2.36 |    +0.68      +0.085         +81 |  -0.16  +0.06 |  -0.33  -0.15
  171.2 0.160    -15.88    +2.63 |    +0.83      +0.109        +104 |  +0.04  +0.04 |  +0.41  +0.06
  171.4 0.170    -19.98    +6.54 |    +1.04      +0.151        +144 |  +0.05  -0.07 |  -0.12  +0.02
  171.6 0.180    -21.08    +8.86 |    +1.10      +0.140        +134 |  -0.23  +0.11 |  +0.03  -0.12
  171.8 0.180    -17.48   +10.25 |    +0.91      +0.162        +155 |  +0.01  -0.19 |  -0.06  -0.08
  172.0 0.180    -12.89    +6.19 |    +0.67      +0.115        +110 |  +0.00  -0.00 |  +0.00  -0.06
  172.2 0.180    -11.91    +4.08 |    +0.62      +0.109        +105 |  +0.14  +0.02 |  -0.02  -0.15
  172.4 0.180    -12.68    +4.44 |    +0.66      +0.126        +120 |  -0.11  -0.04 |  +0.04  +0.05
  172.6 0.180    -10.35    +3.19 |    +0.54      +0.106        +101 |  +0.03  +0.03 |  +0.06  -0.03
  172.8 0.180    -11.81    +3.76 |    +0.62      +0.124        +119 |  +0.11  -0.03 |  -0.04  -0.06
  173.0 0.180     -9.30    +6.64 |    +0.49      +0.094         +89 |  -0.10  +0.12 |  -0.01  +0.06
  173.2 0.180    -10.24    +5.96 |    +0.54      +0.123        +117 |  +0.04  -0.04 |  -0.03  -0.05
  173.4 0.180    -12.81    +7.08 |    +0.67      +0.128        +123 |  +0.11  +0.05 |  +0.09  -0.25
  173.6 0.180     -7.66    +7.50 |    +0.40      +0.124        +119 |  +0.00  -0.13 |  +0.09  +0.10
  173.8 0.180     -9.80    +9.13 |    +0.51      +0.116        +112 |  -0.10  +0.05 |  +0.07  +0.01
  174.0 0.190    -15.19    +9.47 |    +0.80      +0.149        +142 |  -0.09  +0.07 |  +0.01  -0.12
  174.2 0.200     -9.17    +4.97 |    +0.48      +0.130        +124 |  -0.06  -0.04 |  -0.01  +0.12
  174.4 0.200     -5.13    +1.22 |    +0.27      +0.103         +99 |  +0.05  -0.00 |  -0.12  -0.20
  174.6 0.200     -4.29    -1.89 |    +0.22      +0.097         +93 |  +0.01  +0.02 |  +0.24  +0.06
  174.8 0.200     -6.29    -4.01 |    +0.33      +0.116        +111 |  -0.00  -0.02 |  -0.08  -0.04
  175.0 0.200     -4.84    +0.43 |    +0.25      +0.083         +80 |  +0.01  +0.18 |  +0.15  +0.08
  175.2 0.200     -3.09    +1.38 |    +0.16      +0.107        +102 |  -0.00  -0.08 |  +0.03  +0.01
  175.4 0.200     -1.06    -1.36 |    +0.06      +0.089         +85 |  -0.13  -0.02 |  -0.00  -0.24
  175.6 0.218     -2.16    -3.36 |    +0.11      +0.097         +93 |  +0.25  -0.03 |  -0.14  -0.15
  175.8 0.220     -1.94    -6.14 |    +0.10      +0.068         +65 |  +0.12  +0.22 |  -0.02  -0.12
  176.0 0.220     +0.87    -5.88 |    -0.05      +0.079         +76 |  +0.23  -0.03 |  -0.05  +0.20
  176.2 0.220     +0.34    +3.24 |    -0.02      +0.017         +16 |  -0.31  +0.51 |  -0.15  -0.18
  176.4 0.220     +0.63    +3.93 |    -0.03      +0.059         +57 |  -0.28  +0.11 |  -0.08  +0.05
  176.6 0.238     -0.43    -5.03 |    +0.02      +0.048         +45 |  +0.34  +0.26 |  +0.02  -0.01
  176.8 0.240     +1.50   -11.57 |    -0.08      +0.036         +35 |  -0.09  +0.25 |  +0.13  +0.28
  177.0 0.240     +1.11   -13.74 |    -0.06      +0.056         +53 |  +0.91  +0.07 |  +0.04  -0.17
