============================================================================================================
session 2 解锁段 32.5~42.6s (锚点陀螺零偏 +0.00/+0.00/-1.28 °/s)
  t     油门   pitch: 陀螺积分  EKF   加速度计 |  roll: 陀螺积分  EKF   加速度计 | EKF-真实(pitch/roll)  ACC-真实(pitch/roll)
   32.5 0.120       0.00    0.00    -0.22 |    -1.76   -1.76    -1.81 |    +0.00/   +0.00     -0.22/   -0.05
   33.5 0.140       0.03   -0.10    -0.25 |    -1.39   -1.78    -1.46 |    -0.13/   -0.40     -0.28/   -0.07
   34.5 0.200       0.14   -0.10    -0.14 |    -1.09   -1.80    -1.67 |    -0.24/   -0.71     -0.28/   -0.58
   35.5 0.240       0.12   -0.05    -0.05 |    -1.07   -1.78    -1.99 |    -0.16/   -0.71     -0.17/   -0.92
   36.5 0.220       0.33   -0.10    -0.22 |    -0.89   -1.74    -1.71 |    -0.43/   -0.85     -0.55/   -0.81
   37.5 0.160       0.20   -0.06    -0.17 |    -0.83   -1.79    -1.61 |    -0.26/   -0.96     -0.36/   -0.77
   38.5 0.160       0.06   -0.12    -0.14 |    -0.92   -1.79    -1.68 |    -0.18/   -0.87     -0.20/   -0.76
   39.5 0.160       0.21   -0.11     0.01 |    -0.91   -1.76    -1.75 |    -0.33/   -0.85     -0.20/   -0.85
   40.5 0.160       0.30   -0.09     0.03 |    -0.95   -1.80    -1.77 |    -0.38/   -0.84     -0.26/   -0.82
   41.5 0.160       0.68   -0.08     0.06 |    -0.73   -1.76    -1.75 |    -0.76/   -1.03     -0.62/   -1.01
   42.5 0.160       0.56   -0.09    -0.21 |    -0.54   -1.76    -1.88 |    -0.65/   -1.23     -0.77/   -1.34

============================================================================================================
session 3 解锁段 56.5~82.2s (锚点陀螺零偏 +0.12/+0.12/-1.34 °/s)
  t     油门   pitch: 陀螺积分  EKF   加速度计 |  roll: 陀螺积分  EKF   加速度计 | EKF-真实(pitch/roll)  ACC-真实(pitch/roll)
