    会话       状态    |Δω| 中位  |Δω| p95   |Δmotor| 中位  |Δt_phys|roll  |Δt_phys|pitch      油门中位
     4       解锁      0.492     1.940          58.0         0.0717          0.0355     0.120
     4      未解锁      0.047     0.234           0.0         0.0000          0.0000     0.000
     5       解锁      0.260     0.565          34.0         0.0351          0.0178     0.060
     5      未解锁      0.043     0.107           0.0         0.0000          0.0000     0.000
     6       解锁      0.468     1.739          54.5         0.0673          0.0345     0.160
     6      未解锁      0.049     0.294           0.0         0.0000          0.0000     0.000
     7      未解锁      0.040     0.096           0.0         0.0000          0.0000     0.000
     8       解锁      0.396     1.459          47.0         0.0468          0.0355     0.140
     8      未解锁      0.045     0.147           0.0         0.0000          0.0000     0.000
session 4:
   roll/x: corr(电机力矩指令, 实测角速度) = -0.800  (阻尼环应当为负: 角速度越大越往反方向打)
   pitch/y: corr(电机力矩指令, 实测角速度) = -0.606  (阻尼环应当为负: 角速度越大越往反方向打)
   yaw/z: corr(电机力矩指令, 实测角速度) = -0.613  (阻尼环应当为负: 角速度越大越往反方向打)
   roll/x 帧间: corr(Δ力矩, Δ角速度) = -0.956
   pitch/y 帧间: corr(Δ力矩, Δ角速度) = -0.906
   yaw/z 帧间: corr(Δ力矩, Δ角速度) = -0.742
session 5:
   roll/x: corr(电机力矩指令, 实测角速度) = -0.384  (阻尼环应当为负: 角速度越大越往反方向打)
   pitch/y: corr(电机力矩指令, 实测角速度) = -0.794  (阻尼环应当为负: 角速度越大越往反方向打)
   yaw/z: corr(电机力矩指令, 实测角速度) = -0.690  (阻尼环应当为负: 角速度越大越往反方向打)
   roll/x 帧间: corr(Δ力矩, Δ角速度) = -0.974
   pitch/y 帧间: corr(Δ力矩, Δ角速度) = -0.995
   yaw/z 帧间: corr(Δ力矩, Δ角速度) = -0.993
session 6:
   roll/x: corr(电机力矩指令, 实测角速度) = -0.843  (阻尼环应当为负: 角速度越大越往反方向打)
   pitch/y: corr(电机力矩指令, 实测角速度) = -0.782  (阻尼环应当为负: 角速度越大越往反方向打)
   yaw/z: corr(电机力矩指令, 实测角速度) = -0.914  (阻尼环应当为负: 角速度越大越往反方向打)
   roll/x 帧间: corr(Δ力矩, Δ角速度) = -0.996
   pitch/y 帧间: corr(Δ力矩, Δ角速度) = -0.995
   yaw/z 帧间: corr(Δ力矩, Δ角速度) = -0.997
session 8:
   roll/x: corr(电机力矩指令, 实测角速度) = -0.704  (阻尼环应当为负: 角速度越大越往反方向打)
   pitch/y: corr(电机力矩指令, 实测角速度) = -0.652  (阻尼环应当为负: 角速度越大越往反方向打)
   yaw/z: corr(电机力矩指令, 实测角速度) = -0.590  (阻尼环应当为负: 角速度越大越往反方向打)
   roll/x 帧间: corr(Δ力矩, Δ角速度) = -0.911
   pitch/y 帧间: corr(Δ力矩, Δ角速度) = -0.923
   yaw/z 帧间: corr(Δ力矩, Δ角速度) = -0.721
session 4 roll: 解锁段低频姿态 5~95 分位 -13.87~ +8.61°, 帧间抖动(去低频) 标准差  1.72°, 峰值 13.94°; 陀螺帧间差分 标准差 1.115°/帧
session 4 pitch: 解锁段低频姿态 5~95 分位 -12.68~ +1.84°, 帧间抖动(去低频) 标准差  2.20°, 峰值 38.54°; 陀螺帧间差分 标准差 1.085°/帧
session 5 roll: 解锁段低频姿态 5~95 分位  -1.10~ -0.41°, 帧间抖动(去低频) 标准差  0.17°, 峰值  0.88°; 陀螺帧间差分 标准差 0.258°/帧
session 5 pitch: 解锁段低频姿态 5~95 分位  -0.38~ +0.14°, 帧间抖动(去低频) 标准差  0.17°, 峰值  1.00°; 陀螺帧间差分 标准差 0.286°/帧
session 6 roll: 解锁段低频姿态 5~95 分位  -8.44~+13.93°, 帧间抖动(去低频) 标准差  1.71°, 峰值 10.93°; 陀螺帧间差分 标准差 1.114°/帧
session 6 pitch: 解锁段低频姿态 5~95 分位 -13.19~ +1.51°, 帧间抖动(去低频) 标准差  1.24°, 峰值  5.80°; 陀螺帧间差分 标准差 0.830°/帧
session 8 roll: 解锁段低频姿态 5~95 分位  -6.98~ +0.11°, 帧间抖动(去低频) 标准差  1.37°, 峰值 16.27°; 陀螺帧间差分 标准差 0.846°/帧
session 8 pitch: 解锁段低频姿态 5~95 分位  -5.95~ +0.08°, 帧间抖动(去低频) 标准差  1.42°, 峰值 20.70°; 陀螺帧间差分 标准差 0.760°/帧

session 8 294~313s:
   时间    |ω| 1s RMS  电机差动 RMS  油门   姿态度(roll峰峰/pitch峰峰)  状态
    294.0       0.04           64   0.000     0.0/ -0.1  停机
    294.5       0.14          130   0.040     0.7/ -1.0  停机
    295.0       0.14          165   0.060     0.6/ -0.3  解锁
    295.5       0.19          158   0.060     0.3/ -0.2  解锁
    296.0       0.18          156   0.080     0.4/ -0.6  解锁
    296.5       0.30          161   0.100     0.5/ -0.7  解锁
    297.0       0.26          161   0.120     1.2/ -0.8  解锁
    297.5       0.35          167   0.120     0.7/ -1.0  解锁
    298.0       0.30          170   0.140     1.7/ -2.5  解锁
    298.5       0.46          178   0.160     2.9/ -3.8  解锁
    299.0       0.54          173   0.160     2.1/ -2.9  解锁
    299.5       0.44          210   0.160     2.1/ -2.2  解锁
    300.0       0.49          184   0.160     2.4/ -2.1  解锁
    300.5       0.46          188   0.160     2.9/ -3.9  解锁
    301.0       0.48          195   0.160     2.8/ -4.5  解锁
    301.5       0.43          192   0.160     1.9/ -2.9  解锁
    302.0       0.51          161   0.160     3.2/ -3.5  解锁
    302.5       0.61          203   0.180     4.8/ -4.2  解锁
    303.0       0.79          188   0.180     5.4/ -5.0  解锁
    303.5       0.55          199   0.180     5.1/ -5.1  解锁
    304.0       0.76          181   0.200     7.6/ -7.1  解锁
    304.5       0.71          181   0.200     6.5/ -5.2  解锁
    305.0       1.02          186   0.220    11.3/-15.0  解锁
    305.5       1.26          314   0.220    10.4/ -7.3  解锁
    306.0       1.09          318   0.220    11.8/ -7.4  解锁
    306.5       1.11          301   0.220    11.0/ -5.4  解锁
    307.0       4.18          380   0.220    12.7/-11.9  解锁
    307.5       2.83          549   0.220    20.0/ -5.7  解锁
    308.0       3.56          555   0.220    33.6/-44.1  解锁
    308.5       2.76          446   0.220    23.6/-23.2  解锁
    309.0       2.09          592   0.220    10.6/-12.3  解锁
    309.5       2.78          601   0.220    21.3/-15.7  解锁
    310.0       2.44          532   0.220    19.8/-16.7  解锁
    310.5       2.98          538   0.220    11.0/-12.3  解锁
    311.0       2.75          466   0.220    12.6/-15.6  解锁
    311.5       2.76          448   0.220    16.1/-14.5  解锁
    312.0       2.69          493   0.220    18.5/-12.7  解锁
    312.5       8.57          578   0.000    52.3/-27.4  停机(失控保护)

session 4 216~245s:
   时间    |ω| 1s RMS  电机差动 RMS  油门   姿态度(roll峰峰/pitch峰峰)  状态
    216.0       0.04          107   0.000     0.0/ -0.1  停机
    216.5       0.26          115   0.080     1.7/ -0.9  停机
    217.0       0.25          123   0.080     0.9/ -0.7  解锁
    217.5       0.32          132   0.080     0.9/ -0.7  解锁
    218.0       0.30          126   0.080     0.9/ -0.6  解锁
    218.5       0.32          129   0.080     0.8/ -0.7  解锁
    219.0       0.26          126   0.080     1.0/ -0.5  解锁
    219.5       0.29          137   0.080     0.8/ -0.7  解锁
    220.0       0.30          136   0.080     0.8/ -0.7  解锁
    220.5       0.25          132   0.100     0.9/ -0.9  解锁
    221.0       0.22          129   0.100     0.7/ -0.6  解锁
    221.5       0.24          138   0.100     0.9/ -1.0  解锁
    222.0       0.21          127   0.100     0.7/ -0.7  解锁
    222.5       0.27          138   0.100     0.9/ -0.7  解锁
    223.0       0.28          140   0.100     0.7/ -0.7  解锁
    223.5       0.26          126   0.100     0.8/ -0.9  解锁
    224.0       0.27          135   0.100     0.9/ -0.8  解锁
    224.5       0.25          130   0.100     1.0/ -0.7  解锁
    225.0       0.26          137   0.100     0.7/ -1.0  解锁
    225.5       0.32          135   0.120     1.4/ -1.2  解锁
    226.0       0.37          139   0.120     1.1/ -1.4  解锁
    226.5       0.32          138   0.120     2.6/ -3.7  解锁
    227.0       0.32          156   0.120     2.3/ -2.3  解锁
    227.5       0.31          135   0.120     2.0/ -1.7  解锁
    228.0       0.37          165   0.140     1.3/ -2.3  解锁
    228.5       0.53          208   0.140     3.4/ -8.8  解锁
    229.0       0.44          150   0.140     2.8/ -3.8  解锁
    229.5       0.45          180   0.140     3.5/ -3.0  解锁
    230.0       0.54          156   0.140     3.0/ -4.5  解锁
    230.5       0.50          168   0.140     4.1/ -5.2  解锁
    231.0       0.70          182   0.160     6.9/ -8.0  解锁
    231.5       0.78          175   0.180     3.6/ -5.0  解锁
    232.0       0.80          177   0.200    13.8/ -6.2  解锁
    232.5       0.67          186   0.200     7.2/ -5.6  解锁
    233.0       0.79          229   0.200     7.0/ -6.5  解锁
    233.5       0.94          232   0.200    12.3/ -8.7  解锁
    234.0       1.19          277   0.220    15.1/ -5.8  解锁
    234.5       1.42          296   0.240    11.8/ -8.3  解锁
    235.0       1.57          335   0.240     9.1/-26.7  解锁
    235.5       1.81          436   0.220    13.0/-10.6  解锁
    236.0       6.48          660   0.220    44.5/-45.7  解锁
    236.5       6.60          621   0.180    43.6/-77.8  解锁
    237.0       3.96          531   0.180    21.0/-28.2  解锁
    237.5       1.39          522   0.180    10.3/ -4.9  解锁
    238.0       1.07          395   0.180    12.8/ -6.5  解锁
    238.5       0.70          400   0.140    10.2/ -4.9  解锁
    239.0       0.68          405   0.120     9.7/ -4.3  解锁
    239.5       0.60          411   0.120     3.9/ -3.1  解锁
    240.0       0.66          410   0.120     5.4/ -4.8  解锁
    240.5       0.46          330   0.080     8.7/ -4.6  解锁
    241.0       0.27          291   0.080     2.7/ -2.5  解锁
    241.5       0.23          229   0.060     1.7/ -3.7  解锁
    242.0       0.29          142   0.040     0.8/ -1.1  解锁
    242.5       0.25          143   0.040     0.9/ -0.6  解锁
    243.0       0.32          143   0.040     0.7/ -0.8  解锁
    243.5       0.27          142   0.040     0.9/ -0.6  解锁
    244.0       0.32          141   0.040     0.8/ -1.0  解锁
    244.5       0.31          143   0.040     0.9/ -0.8  解锁

session 8 25~46s:
   时间    |ω| 1s RMS  电机差动 RMS  油门   姿态度(roll峰峰/pitch峰峰)  状态
     25.0       0.23           37   0.140     3.6/ -1.0  停机
     25.5       0.28           63   0.140     1.5/ -7.3  解锁
     26.0       0.28           64   0.140     1.5/ -7.2  解锁
     26.5       0.31           87   0.140     2.5/ -7.9  解锁
     27.0       0.28           74   0.140     2.4/ -6.3  解锁
     27.5       0.33           90   0.140     3.6/ -5.9  解锁
     28.0       0.41           95   0.160     3.4/ -7.3  解锁
     28.5       0.39           92   0.160     0.9/ -1.3  解锁
     29.0       0.43           98   0.160     4.5/ -4.0  解锁
     29.5       0.66          130   0.180     6.0/ -9.7  解锁
     30.0       0.63          125   0.180     5.8/ -6.1  解锁
     30.5       0.60          136   0.180     4.8/ -5.1  解锁
     31.0       0.71          135   0.200    11.5/-11.2  解锁
     31.5       0.70          117   0.220     7.1/ -4.3  解锁
     32.0       0.63          129   0.220    10.4/ -2.9  解锁
     32.5       0.91          120   0.220     6.1/ -7.4  解锁
