    会话       状态    |Δω| 中位  |Δω| p95   |Δmotor| 中位  |Δt_phys|roll  |Δt_phys|pitch      油门中位
     2       解锁      0.038     0.075           7.0         0.0044          0.0021     0.160
     2      未解锁      0.040     0.083           0.0         0.0000          0.0000     0.000
     3       解锁      0.258     0.671          24.0         0.0322          0.0209     0.220
     3      未解锁      0.040     0.087           0.0         0.0000          0.0000     0.000
     4       解锁      0.158     0.346          17.0         0.0220          0.0125     0.180
     4      未解锁      0.045     0.132           0.0         0.0000          0.0000     0.000
     5       解锁      0.354     0.948          34.0         0.0571          0.0272     0.240
     5      未解锁      0.040     0.092           0.0         0.0000          0.0000     0.000
     6      未解锁      0.047     0.262           0.0         0.0000          0.0000     0.000
session 2:
   roll/x: corr(电机力矩指令, 实测角速度) = -0.298  (阻尼环应当为负: 角速度越大越往反方向打)
   pitch/y: corr(电机力矩指令, 实测角速度) = -0.478  (阻尼环应当为负: 角速度越大越往反方向打)
   yaw/z: corr(电机力矩指令, 实测角速度) = -0.933  (阻尼环应当为负: 角速度越大越往反方向打)
   roll/x 帧间: corr(Δ力矩, Δ角速度) = -0.832
   pitch/y 帧间: corr(Δ力矩, Δ角速度) = -0.884
   yaw/z 帧间: corr(Δ力矩, Δ角速度) = -0.999
session 3:
   roll/x: corr(电机力矩指令, 实测角速度) = -0.413  (阻尼环应当为负: 角速度越大越往反方向打)
   pitch/y: corr(电机力矩指令, 实测角速度) = -0.833  (阻尼环应当为负: 角速度越大越往反方向打)
   yaw/z: corr(电机力矩指令, 实测角速度) = -0.900  (阻尼环应当为负: 角速度越大越往反方向打)
   roll/x 帧间: corr(Δ力矩, Δ角速度) = -0.998
   pitch/y 帧间: corr(Δ力矩, Δ角速度) = -0.998
   yaw/z 帧间: corr(Δ力矩, Δ角速度) = -0.999
session 4:
   roll/x: corr(电机力矩指令, 实测角速度) = -0.991  (阻尼环应当为负: 角速度越大越往反方向打)
   pitch/y: corr(电机力矩指令, 实测角速度) = -0.853  (阻尼环应当为负: 角速度越大越往反方向打)
   yaw/z: corr(电机力矩指令, 实测角速度) = -0.968  (阻尼环应当为负: 角速度越大越往反方向打)
   roll/x 帧间: corr(Δ力矩, Δ角速度) = -0.998
   pitch/y 帧间: corr(Δ力矩, Δ角速度) = -0.997
   yaw/z 帧间: corr(Δ力矩, Δ角速度) = -0.999
session 5:
   roll/x: corr(电机力矩指令, 实测角速度) = -0.506  (阻尼环应当为负: 角速度越大越往反方向打)
   pitch/y: corr(电机力矩指令, 实测角速度) = -0.764  (阻尼环应当为负: 角速度越大越往反方向打)
   yaw/z: corr(电机力矩指令, 实测角速度) = -0.808  (阻尼环应当为负: 角速度越大越往反方向打)
   roll/x 帧间: corr(Δ力矩, Δ角速度) = -0.998
   pitch/y 帧间: corr(Δ力矩, Δ角速度) = -0.999
   yaw/z 帧间: corr(Δ力矩, Δ角速度) = -1.000
session 2 roll: 解锁段低频姿态 5~95 分位  -1.79~ -1.74°, 帧间抖动(去低频) 标准差  0.01°, 峰值  0.03°; 陀螺帧间差分 标准差 0.009°/帧
session 2 pitch: 解锁段低频姿态 5~95 分位  -0.11~ -0.08°, 帧间抖动(去低频) 标准差  0.01°, 峰值  0.09°; 陀螺帧间差分 标准差 0.009°/帧
session 3 roll: 解锁段低频姿态 5~95 分位  -9.76~ -0.84°, 帧间抖动(去低频) 标准差  0.58°, 峰值  3.40°; 陀螺帧间差分 标准差 0.385°/帧
session 3 pitch: 解锁段低频姿态 5~95 分位  -2.37~ +8.35°, 帧间抖动(去低频) 标准差  0.47°, 峰值  3.38°; 陀螺帧间差分 标准差 0.293°/帧
session 4 roll: 解锁段低频姿态 5~95 分位  -0.84~ -0.20°, 帧间抖动(去低频) 标准差  0.15°, 峰值  0.80°; 陀螺帧间差分 标准差 0.153°/帧
session 4 pitch: 解锁段低频姿态 5~95 分位  -2.25~ -0.16°, 帧间抖动(去低频) 标准差  0.24°, 峰值  1.04°; 陀螺帧间差分 标准差 0.243°/帧
session 5 roll: 解锁段低频姿态 5~95 分位  -8.48~ -0.37°, 帧间抖动(去低频) 标准差  0.78°, 峰值  4.65°; 陀螺帧间差分 标准差 0.501°/帧
session 5 pitch: 解锁段低频姿态 5~95 分位  -3.12~ +9.57°, 帧间抖动(去低频) 标准差  0.56°, 峰值  4.15°; 陀螺帧间差分 标准差 0.345°/帧

session 2 32~43s:
   时间    |ω| 1s RMS  电机差动 RMS  油门   姿态度(roll峰峰/pitch峰峰)  状态
     32.5       0.04           18   0.120     0.0/ -0.1  解锁
     33.0       0.04           17   0.120     0.0/ -0.0  解锁
     33.5       0.04           17   0.140     0.1/ -0.0  解锁
     34.0       0.04           19   0.180     0.1/ -0.0  解锁
     34.5       0.04           23   0.220     0.0/ -0.0  解锁
     35.0       0.04           23   0.240     0.0/ -0.0  解锁
     35.5       0.04           26   0.240     0.1/ -0.1  解锁
     36.0       0.04           24   0.220     0.0/ -0.0  解锁
     36.5       0.05           26   0.200     0.0/ -0.1  解锁
     37.0       0.04           26   0.160     0.1/ -0.1  解锁
     37.5       0.05           31   0.160     0.0/ -0.1  解锁
     38.0       0.05           33   0.160     0.0/ -0.0  解锁
     38.5       0.04           30   0.160     0.0/ -0.0  解锁
     39.0       0.05           36   0.160     0.1/ -0.0  解锁
     39.5       0.04           33   0.160     0.0/ -0.0  解锁
     40.0       0.05           38   0.160     0.0/ -0.0  解锁
     40.5       0.05           48   0.160     0.0/ -0.0  解锁
     41.0       0.05           42   0.160     0.0/ -0.0  解锁
     41.5       0.04           38   0.160     0.0/ -0.1  解锁
     42.0       0.05           43   0.160     0.1/ -0.0  解锁
     42.5       0.04           42   0.160     0.0/ -0.0  解锁

session 3 56~82s:
   时间    |ω| 1s RMS  电机差动 RMS  油门   姿态度(roll峰峰/pitch峰峰)  状态
     56.5       0.20           24   0.140     2.4/ -0.8  解锁
     57.0       0.15           26   0.140     0.2/ -0.3  解锁
     57.5       0.16           26   0.140     0.3/ -0.3  解锁
     58.0       0.17           34   0.140     0.1/ -0.2  解锁
     58.5       0.17           31   0.140     0.2/ -0.3  解锁
     59.0       0.16           27   0.140     0.3/ -0.3  解锁
     59.5       0.15           30   0.140     0.2/ -0.3  解锁
     60.0       0.14           26   0.160     0.6/ -0.2  解锁
     60.5       0.13           31   0.160     0.7/ -0.4  解锁
     61.0       0.15           24   0.160     0.4/ -0.4  解锁
     61.5       0.19           31   0.180     0.4/ -1.2  解锁
     62.0       0.21           36   0.180     0.3/ -0.6  解锁
     62.5       0.18           42   0.180     0.3/ -0.8  解锁
     63.0       0.22           38   0.180     0.4/ -0.9  解锁
     63.5       0.21           42   0.200     0.9/ -2.1  解锁
     64.0       0.24           49   0.200     1.0/ -1.5  解锁
     64.5       0.27           46   0.200     1.2/ -1.7  解锁
     65.0       0.29           46   0.220     1.0/ -1.5  解锁
     65.5       0.30           49   0.220     0.5/ -0.8  解锁
     66.0       0.27           44   0.220     0.9/ -1.0  解锁
     66.5       0.30           50   0.220     0.7/ -1.2  解锁
     67.0       0.29           50   0.220     0.5/ -1.6  解锁
     67.5       0.34           57   0.240     3.6/ -1.4  解锁
     68.0       0.36           77   0.240     5.3/ -1.2  解锁
     68.5       0.32           75   0.240     1.8/ -1.4  解锁
     69.0       0.31           99   0.240     2.7/ -1.6  解锁
     69.5       0.31          105   0.240     4.3/ -3.2  解锁
     70.0       0.31          118   0.260     5.6/ -1.6  解锁
     70.5       0.29          101   0.260     5.2/ -1.2  解锁
     71.0       0.36           89   0.280     2.4/ -1.1  解锁
     71.5       0.36           81   0.300     3.3/ -2.0  解锁
     72.0       0.52           94   0.320     3.8/ -6.0  解锁
     72.5       0.41          115   0.320     4.3/ -1.8  解锁
     73.0       0.37          119   0.320     2.8/ -1.0  解锁
     73.5       0.39          118   0.320     3.1/ -1.5  解锁
     74.0       0.50           89   0.300     3.5/ -8.9  解锁
     74.5       0.44          115   0.280     3.7/ -3.1  解锁
     75.0       0.37          112   0.280     2.6/ -1.9  解锁
     75.5       0.32          133   0.220     3.0/ -1.6  解锁
     76.0       0.37          135   0.220     2.8/ -1.4  解锁
     76.5       0.44          105   0.280     3.9/ -1.5  解锁
     77.0       0.47          144   0.280     4.1/ -5.5  解锁
     77.5       0.32          132   0.300     3.6/ -2.7  解锁
     78.0       0.33          144   0.300     2.4/ -1.0  解锁
     78.5       0.73          139   0.240     4.9/ -7.1  解锁
     79.0       0.24          126   0.180     0.7/ -1.6  解锁
     79.5       0.15          125   0.120     0.5/ -0.5  解锁
     80.0       0.16          123   0.120     0.3/ -0.3  解锁
     80.5       0.14          128   0.120     0.2/ -0.5  解锁
     81.0       0.15          127   0.120     0.3/ -0.4  解锁
     81.5       0.17          127   0.120     0.2/ -0.3  解锁
     82.0       0.17          128   0.120     0.2/ -0.3  解锁

session 4 29~43s:
   时间    |ω| 1s RMS  电机差动 RMS  油门   姿态度(roll峰峰/pitch峰峰)  状态
