t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,level,1.54166e-17,1.19068e-33,9.76492e-07,2.6034e-06,0,0,-4.06576e-20,-9.88628e-13,2.03288e-20,99.8595,99.9995,99.8694,-0.00485204,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00195298,0.00520679,0.00447678,0.00790558,-0.0438727,0.102578,0.111846,0,0.000159311
0.01,level,-1.76821e-16,3.14411e-10,2.78663e-05,-5.80577e-05,0,0,1.01556e-15,-1.3567e-07,3.71125e-14,99.859,99.999,100.045,-0.102661,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.00583925,-0.00818822,0.00219852,0.0310742,-0.00338996,0.0326826,0.0452244,0,0.0036898
0.02,level,-2.56012e-16,5.03877e-09,4.9899e-05,-8.24007e-05,0,0,1.62818e-14,-1.04647e-06,5.75618e-13,99.8575,99.9975,100.044,-0.200432,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00782427,-0.000808329,-0.0031136,0.0476907,-0.054223,0.0871876,0.113209,0,0.00551965
0.03,level,6.82293e-16,2.55163e-08,9.76802e-05,-0.000132925,0,0,8.2454e-14,-3.48858e-06,2.88403e-12,99.855,99.995,99.974,-0.298797,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00219047,0.00426018,-0.00674953,0.0144976,-0.0693464,0.0261762,0.0755268,0,0.00945247
0.04,level,1.47088e-15,8.06518e-08,0.000148316,-0.000152924,0,0,2.60623e-13,-8.21812e-06,9.06778e-12,99.8515,99.9915,99.9705,-0.396517,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0044161,0.00166568,-0.00289305,-0.0481842,0.000721521,0.0338011,0.0588621,0,0.0122093
0.05,level,4.71378e-15,1.96911e-07,0.000188181,-0.000167471,0,0,6.36311e-13,-1.59911e-05,2.20691e-11,99.847,99.987,99.9263,-0.495259,nan,0.286536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0134286,0.00133825,-0.0014504,0.121187,-0.0268739,-0.0419506,0.131028,0,0.0144409
0.06,level,-3.84634e-09,5.10036e-07,0.000235615,-0.000198906,0,0,-2.99721e-06,-0.000121975,0.000282997,99.8416,99.9816,99.9208,-0.592809,nan,0.291426,0.290727,0.291107,0.291749,0.291148,0.290727,0.291148,0.291107,0.291749,1,0,0,0,-0.0026018,0.0020139,9.75108e-05,-0.000690989,0.000589118,0,0,0,0.0105705,-0.00506681,-0.00178204,-0.0413692,-0.0641569,0.0314969,0.0825807,0,0.017686
0.07,level,-2.0599e-07,8.69982e-06,0.00029794,-0.00020899,0,0,-5.55445e-05,-0.00221351,-0.000225912,99.8352,99.9752,99.8661,-0.690009,nan,0.296164,0.294402,0.297622,0.294682,0.29703,0.294402,0.29703,0.297622,0.294682,1,0,0,0,-0.0023125,-0.000593233,-0.0024472,-0.000908734,0.00063686,0,0,0,-0.00994129,0.00659543,0.0061442,-0.0321091,-0.108427,0.640254,0.650164,0,0.0211513
0.08,level,-1.44506e-06,5.84834e-05,0.000334401,-0.000190285,0,0,-0.000217533,-0.00903421,0.00143399,99.8279,99.9679,99.8588,-0.77763,nan,0.30053,0.300729,0.299644,0.300873,0.300045,0.300729,0.300045,0.299644,0.300873,1,0,0,0,0.000681298,0.00103236,0.000840859,-0.00100932,0.000578955,0,0,0,-0.00407813,0.00539875,-0.00216524,-0.0169044,-0.0523327,1.49956,1.50057,0,0.023946
0.09,level,-4.68468e-06,0.000205892,0.00039816,-8.16648e-05,0,0,-0.00045916,-0.0222624,0.00100275,99.8198,99.9598,99.8885,-0.852605,nan,0.304385,0.304238,0.304776,0.303697,0.30411,0.304238,0.30411,0.304776,0.303697,1,0,0,0,-0.000330675,-0.00228804,-0.000418396,-0.00118987,0.000260752,0,0,0,0.00307496,0.0105062,0.00290602,-0.0121197,-0.0357442,2.58491,2.58519,0,0.0283565
0.1,level,-1.08199e-05,0.000518978,0.000442726,0.000180605,0,0,-0.000807324,-0.0425571,0.001229,99.8109,99.9509,99.8796,-0.918696,nan,0.307657,0.307675,0.308182,0.307014,0.30716,0.307675,0.30716,0.308182,0.307014,1,0,0,0,-0.00095476,-0.00318905,-0.000286796,-0.00133042,-0.000498725,0,0,0,-0.00149954,0.0287299,0.00678928,-0.0577821,-0.0276988,3.71162,3.71217,0,0.0324168
0.11,level,-2.09649e-05,0.00106847,0.000494819,0.000685986,0,0,-0.00126303,-0.0698163,0.00103599,99.8015,99.9415,99.8873,-0.971014,nan,0.310324,0.310693,0.311758,0.309279,0.30909,0.310693,0.30909,0.311758,0.309279,1,0,0.000976562,0,-0.00332496,-0.00773546,-0.000385199,-0.00147499,-0.0019519,0,0,0,0.00630915,0.0707084,0.0059726,-0.0706408,-0.0605521,5.08278,5.08363,0,0.0367801
0.12,level,-3.61677e-05,0.0019208,0.000508281,0.00148813,0,0,-0.00181152,-0.103264,0.000764624,99.7916,99.9316,99.8774,-1.01307,nan,0.312398,0.31357,0.314198,0.310535,0.310929,0.31357,0.310929,0.314198,0.310535,1,0,0.000976562,0,-0.000620497,-0.0119476,-0.000449193,-0.00151987,-0.00431503,0,0,0,0.00331,0.0995789,0.00473931,-0.0539668,-0.106523,6.19002,6.19117,0,0.0398244
0.13,level,-5.74397e-05,0.00313223,0.000530175,0.00268282,0,0,-0.0024875,-0.141609,0.000950685,99.7814,99.9214,99.8273,-1.04906,nan,0.313913,0.314533,0.317042,0.310405,0.31342,0.314533,0.31342,0.317042,0.310405,1,0,0.00239208,0,0.00134299,-0.0146856,-0.00242825,-0.00159302,-0.00784265,0,0,0,-0.00165713,0.137201,-0.00280377,-0.0649558,-0.134636,7.23679,7.23834,0,0.0423477
0.14,level,-8.55987e-05,0.00474405,0.000531052,0.00427337,0,0,-0.00314585,-0.183284,0.0015584,99.7709,99.9109,99.8167,-1.06941,nan,0.314917,0.317032,0.318808,0.310725,0.312949,0.317032,0.312949,0.318808,0.310725,1,0,0.00408525,0,0.00118752,-0.0230543,-0.00175832,-0.00159053,-0.0125444,0,0,0,0.00175791,0.183803,-0.0038717,-0.092612,0.00288161,8.15346,8.15399,0,0.044385
0.15,level,-0.000119904,0.00678199,0.000552772,0.00627382,0,0,-0.00375833,-0.226598,0.00170146,99.7602,99.9002,99.8108,-1.07979,nan,0.315466,0.317435,0.320607,0.310267,0.313483,0.317435,0.313483,0.320607,0.310267,1,0,0.00605941,0,0.000117186,-0.0270809,-0.00280783,-0.0016565,-0.0184837,0,0,0,0.00120258,0.225162,-0.00168276,0.0129255,-0.0532003,9.07827,9.07843,0,0.0482035
0.16,level,-0.000160659,0.00925495,-0.00204029,0.00192818,0,0,-0.00438572,-0.270073,0.00100978,99.7495,99.8895,99.8,-1.08298,nan,0.315615,0.319673,0.318965,0.312224,0.311604,0.319673,0.311604,0.318965,0.312224,1,0,0.00239208,0,0.000234827,-0.0280626,0.000583777,0.00611804,-0.00540989,4.12866e-06,1.07256e-05,2.12264e-10,-0.00188666,0.249759,0.00609774,0.0321539,-0.119707,9.82794,9.82872,0,0.433431
0.17,level,-0.000207142,0.0121583,-0.00203316,0.00479946,0,0,-0.00488141,-0.312422,0.000433254,99.7388,99.8788,99.6916,-1.10027,nan,0.315422,0.320821,0.31958,0.310857,0.310499,0.320821,0.310499,0.31958,0.310857,1,0,0.00502716,0,0.00234233,-0.0360871,0.000703356,0.00611094,-0.0139398,4.12866e-06,1.07256e-05,2.12264e-10,0.00770723,0.30571,-0.00579547,-0.0651519,-0.143828,10.5379,10.539,0,0.434473
0.18,level,-0.000257205,0.0154746,-0.00203315,0.00808116,0,0,-0.0051043,-0.352319,0.000500268,99.7282,99.8682,99.6806,-1.09068,nan,0.31494,0.319031,0.321988,0.307427,0.311434,0.319031,0.311434,0.321988,0.307427,1,0,0.00799351,0,0.00278534,-0.0419833,-0.00306084,0.00609627,-0.0237315,4.12866e-06,1.07256e-05,2.12264e-10,-0.0020206,0.341338,0.000870202,-0.0195847,-0.152908,11.0691,11.0702,0,0.435733
0.19,level,-0.000308647,0.0191738,-0.00203257,0.0117681,0,0,-0.00510755,-0.388656,0.000260663,99.7177,99.8577,99.7339,-1.05934,nan,0.314216,0.321745,0.319424,0.308643,0.307217,0.321745,0.307217,0.319424,0.308643,1,0,0.011678,0,0.00237437,-0.0479541,0.00164656,0.00610685,-0.0347247,4.12866e-06,1.07256e-05,2.12264e-10,0.0063152,0.386357,-4.31925e-05,-0.118014,-0.110757,11.5044,11.5056,0,0.435747
0.2,level,-0.000359045,0.0232157,-0.00201437,0.0157655,0,0,-0.00495954,-0.420522,0.000409396,99.7074,99.8474,99.7235,-1.04072,nan,0.313296,0.321185,0.319511,0.306912,0.305774,0.321185,0.305774,0.319511,0.306912,1,0,0.0156403,0,0.00142024,-0.0530738,0.00123601,0.00601615,-0.0466638,4.12866e-06,1.07256e-05,2.12264e-10,-0.0177944,0.421481,0.0124038,-0.0049695,-0.053815,11.7831,11.7832,0,0.437384
0.21,level,-0.000407844,0.0275523,-0.00202805,0.0200637,0,0,-0.00473153,-0.44723,0.00139073,99.6972,99.8372,99.8104,-0.988844,nan,0.312218,0.319765,0.319863,0.304097,0.305374,0.319765,0.305374,0.319863,0.304097,1,0,0.0199062,0,0.00312867,-0.0571414,-0.00060437,0.00606532,-0.0595289,4.12866e-06,1.07256e-05,2.12264e-10,-0.0119029,0.440927,-0.00125925,-0.0162428,-0.0947412,12.0872,12.0876,0,0.439121
0.22,level,-0.000453862,0.0321295,-0.00201478,0.0246025,0,0,-0.00432983,-0.468331,0.00157218,99.6873,99.8273,99.8006,-0.96464,nan,0.311016,0.319534,0.31905,0.302524,0.303206,0.319534,0.303206,0.31905,0.302524,1,0,0.024424,0,0.00309276,-0.0622518,-8.69812e-05,0.00603004,-0.0730967,4.12866e-06,1.07256e-05,2.12264e-10,-0.00867184,0.472796,0.00273952,0.122646,-0.0793839,12.2182,12.2191,0,0.440588
0.23,level,-0.000495384,0.0368905,-0.00200734,0.0293178,0,0,-0.00382675,-0.483662,0.00199656,99.6777,99.8177,99.785,-0.940853,nan,0.309721,0.318042,0.318507,0.300963,0.301638,0.318042,0.301638,0.318507,0.300963,1,0,0.0291421,0,0.000557185,-0.064325,-0.000501316,0.00601267,-0.0872408,4.12866e-06,1.07256e-05,2.12264e-10,-0.00521043,0.472977,0.0093839,0.0645021,-0.0772952,12.3565,12.3569,0,0.442623
0.24,level,-0.000532561,0.0417768,-0.00200358,0.0341763,0,0,-0.00339688,-0.493105,0.00250909,99.6683,99.8083,99.7758,-0.913232,nan,0.308357,0.317183,0.317527,0.29925,0.299745,0.317183,0.299745,0.317527,0.29925,1,0,0.0339912,0,0.000401414,-0.0676734,-0.000369133,0.00600158,-0.101775,4.12866e-06,1.07256e-05,2.12264e-10,-0.00430033,0.499453,-0.00114424,0.0841585,-0.0633909,12.5314,12.5319,0,0.443755
0.25,level,-0.000565587,0.0467304,-0.00195797,0.039105,0,0,-0.00294873,-0.496901,0.00272888,99.6592,99.7992,99.7762,-0.88097,nan,0.306946,0.316418,0.31637,0.297473,0.297808,0.316418,0.297808,0.31637,0.297473,1,0,0.0388857,0,0.00101589,-0.0710685,-0.000125791,0.00587856,-0.11656,4.12866e-06,1.07256e-05,2.12264e-10,0.00521307,0.498306,0.00363027,0.066747,0.0751326,12.7013,12.7017,0,0.444347
0.26,level,-0.000594922,0.0516959,-0.00194153,0.0440066,0,0,-0.00255701,-0.495297,0.00365003,99.6504,99.7904,99.7675,-0.85206,nan,0.305506,0.316033,0.31412,0.297413,0.294747,0.316033,0.294747,0.31412,0.297413,1,0,0.043794,0,-0.00199676,-0.0719889,0.00201291,0.00582841,-0.131258,4.12866e-06,1.07256e-05,2.12264e-10,0.00529192,0.501049,0.00192932,0.0898716,0.0496177,12.7978,12.7982,0,0.447516
0.27,level,-0.000620463,0.0566221,-0.00192176,0.0488956,0,0,-0.00213636,-0.488861,0.00244165,99.6418,99.7818,99.7077,-0.847512,nan,0.304052,0.314015,0.313182,0.294615,0.294687,0.314015,0.294687,0.313182,0.294615,1,0,0.0486826,0,0.00240339,-0.0718026,0.000334844,0.00577958,-0.145936,4.12866e-06,1.07256e-05,2.12264e-10,0.0133029,0.49107,-0.00618546,0.0264469,0.00244197,12.859,12.859,0,0.449196
0.28,level,-0.000640688,0.0614632,-0.00187149,0.0536956,0,0,-0.00153434,-0.478143,0.00172737,99.6336,99.7736,99.6994,-0.818365,nan,0.302597,0.311657,0.312807,0.292858,0.293356,0.311657,0.293356,0.312807,0.292858,1,0,0.0534723,0,-0.00172662,-0.072476,-0.000724212,0.00562571,-0.160343,4.12866e-06,1.07256e-05,2.12264e-10,0.0121791,0.483061,-0.0114476,0.0136923,0.0179892,12.7695,12.7695,0,0.450868
0.29,level,-0.000654839,0.0661786,-0.00184424,0.0583824,0,0,-0.00099861,-0.463636,0.00185815,99.6256,99.7656,99.7219,-0.772808,nan,0.30115,0.309587,0.312181,0.290432,0.292688,0.309587,0.292688,0.312181,0.290432,1,0,0.0581629,0,-0.000896673,-0.0732311,-0.00213181,0.00553686,-0.174421,4.12866e-06,1.07256e-05,2.12264e-10,0.00762728,0.467629,-0.00213638,-0.0538051,0.026055,12.6253,12.6254,0,0.452133
0.3,level,-0.00066408,0.0707332,-0.00182019,0.0629371,0,0,-0.000537988,-0.445867,0.00139002,99.618,99.758,99.7143,-0.743984,nan,0.299721,0.30864,0.310102,0.288886,0.29154,0.30864,0.29154,0.310102,0.288886,1,0,0.0627234,0,0.00316175,-0.0725989,-0.00180905,0.00546962,-0.188124,4.12866e-06,1.07256e-05,2.12264e-10,0.0108544,0.438087,0.0097306,-0.0376682,-0.0244301,12.7209,12.721,0,0.451856
0.31,level,-0.000668576,0.0750967,-0.00178731,0.067285,0,0,-1.8962e-05,-0.425441,0.00210352,99.6106,99.7506,99.7314,-0.701381,nan,0.298315,0.307731,0.307737,0.289449,0.288623,0.307731,0.288623,0.307737,0.289449,1,0,0.0670952,0,-0.00220652,-0.0708582,0.000360839,0.00535975,-0.201181,4.12866e-06,1.07256e-05,2.12264e-10,0.00457571,0.424437,0.000840144,-0.0431629,-0.140427,12.7008,12.7017,0,0.452455
0.32,level,-0.00066896,0.0792465,-0.00173542,0.0714102,0,0,0.000308335,-0.403118,0.00223685,99.6035,99.7435,99.7245,-0.673778,nan,0.296939,0.305696,0.30665,0.287593,0.288089,0.305696,0.288089,0.30665,0.287593,1,0,0.0712293,0,-0.0012152,-0.06947,-0.000637736,0.0051857,-0.213589,4.12866e-06,1.07256e-05,2.12264e-10,-0.00821048,0.397501,0.016156,0.0281306,-0.16733,12.6183,12.6194,0,0.453459
0.33,level,-0.000667046,0.0831661,-0.0016774,0.0753029,0,0,0.000483173,-0.379453,0.00185397,99.5967,99.7367,99.6825,-0.669992,nan,0.295595,0.306052,0.303379,0.287641,0.285574,0.306052,0.285574,0.303379,0.287641,1,0,0.0751268,0,0.0016038,-0.0686218,0.00208341,0.00502906,-0.225286,4.12866e-06,1.07256e-05,2.12264e-10,0.00478573,0.379994,0.00376945,0.0330729,-0.0233073,12.5641,12.5642,0,0.454569
0.34,level,-0.000663344,0.0868449,-0.00162017,0.0789625,0,0,0.000628064,-0.354996,0.00201766,99.5901,99.7301,99.6759,-0.643592,nan,0.294287,0.302271,0.303917,0.285018,0.286202,0.302271,0.286202,0.303917,0.285018,1,0,0.0787926,0,-0.00122362,-0.0662585,-0.00124351,0.00485474,-0.236299,4.12866e-06,1.07256e-05,2.12264e-10,0.00462101,0.351885,-0.0108729,0.0809448,-0.0553378,12.3598,12.3602,0,0.455305
