t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,level,1.54166e-17,1.19068e-33,3.00455e-06,-1.57661e-06,0,0,-4.06576e-20,-9.88628e-13,2.03288e-20,99.8595,99.9995,99.8694,-0.00487475,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00600911,-0.00315322,0.00830929,0.0251624,-0.0338936,0.0571529,0.0710519,0,0.000194409
0.01,level,-1.76821e-16,3.14411e-10,6.4556e-05,-2.9577e-05,0,0,1.01556e-15,-1.3567e-07,3.71125e-14,99.859,99.999,100.212,-0.10266,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00621139,-0.00648249,0.00388392,-0.045907,-0.0600511,-0.0329328,0.0824509,0,0.00406852
0.02,level,-2.56012e-16,5.03877e-09,0.000122605,-6.12837e-05,0,0,1.62818e-14,-1.04647e-06,5.75618e-13,99.8575,99.9975,100.211,-0.200322,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.3139e-12,-2.31893e-12,2.81358e-16,-0.00198346,0.00745376,0.00672888,0.041096,-0.0573663,-0.0210864,0.0736506,0,0.00785356
0.03,level,6.82293e-16,2.55163e-08,0.00017721,-9.7642e-05,0,0,8.2454e-14,-3.48858e-06,2.88403e-12,99.855,99.995,99.7053,-0.303215,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.3139e-12,-2.31893e-12,2.81358e-16,0.0103487,-0.00882468,-0.00881052,0.0523016,-0.0268118,-0.0196725,0.0619785,0,0.0115933
0.04,level,1.47088e-15,8.06518e-08,0.000220231,-0.000109644,0,0,2.60623e-13,-8.21812e-06,9.06778e-12,99.8515,99.9915,99.7018,-0.400896,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.53257e-12,1.26353e-11,-2.25183e-15,0.00457072,-0.00286238,-0.0137688,0.0899727,-0.031549,0.0762833,0.122105,0,0.0140977
0.05,level,4.71378e-15,1.96911e-07,0.000277536,-0.000148855,0,0,6.36311e-13,-1.59911e-05,2.20691e-11,99.847,99.987,99.8093,-0.495988,nan,0.286536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.53257e-12,1.26353e-11,-2.25183e-15,-0.00085739,-0.00125567,0.0097572,0.0103178,-0.0434152,0.0597049,0.0745387,0,0.0180498
0.06,level,-3.02153e-09,5.14307e-07,0.000318853,-0.000182738,0,0,-2.62117e-06,-0.000125789,-0.000239808,99.8416,99.9816,99.8038,-0.593634,nan,0.291426,0.289532,0.292554,0.289982,0.292662,0.289532,0.292662,0.292554,0.289982,1,0,0,0,-0.00090775,0.00105693,-0.00250648,-0.000963408,0.000549774,-1.7162e-12,-2.77137e-12,8.06598e-16,-0.00456329,0.0010427,0.00986423,-0.0509038,-0.121796,0.128597,0.184289,0,0.0210714
0.07,level,-1.70974e-07,8.88616e-06,0.000388358,-0.000210201,0,0,-4.61862e-05,-0.0022567,0.000865964,99.8352,99.9752,99.7705,-0.689749,nan,0.296164,0.294282,0.297336,0.294931,0.297187,0.294282,0.297187,0.297336,0.294931,1,0,0,0,-0.00211461,0.000946102,-0.00233385,-0.00114795,0.000619307,-1.7162e-12,-2.77137e-12,8.06598e-16,0.0114176,-0.00752753,0.00768297,0.0137617,-0.0556019,0.596524,0.599268,0,0.0255563
0.08,level,-1.12098e-06,5.96845e-05,0.000409381,-0.000198948,0,0,-0.00016101,-0.00921695,0.00139591,99.8279,99.9679,99.7632,-0.777646,nan,0.30053,0.300098,0.30055,0.300102,0.30054,0.300098,0.30054,0.30055,0.300102,1,0,0,0,-3.79009e-05,-1.01286e-05,-0.000391437,-0.00121856,0.000610192,1.78039e-10,2.01538e-10,-5.51454e-14,0.0063906,0.00890025,0.00222592,-0.105288,-0.123942,1.50401,1.51278,0,0.0277984
0.09,level,-3.58219e-06,0.000209581,0.00046448,-6.57533e-05,0,0,-0.000346086,-0.0225706,0.00128098,99.8198,99.9598,99.9209,-0.843765,nan,0.304385,0.305116,0.303952,0.304702,0.303051,0.305116,0.303051,0.303952,0.304702,1,0,0,0,-0.00129025,-0.00249185,0.00123683,-0.00137028,0.000225903,1.78039e-10,2.01538e-10,-5.51454e-14,0.0154379,0.0190965,0.00229564,-0.0386003,-0.113246,2.54564,2.54845,0,0.0311116
