t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,level,1.54166e-17,1.19068e-33,7.47441e-05,7.1033e-05,0,0,-4.06576e-20,-9.88628e-13,2.03288e-20,99.8595,99.9995,99.8693,-6.49376e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0115662,-0.0027702,0.00818811,-0.0185488,0.0176633,0.0107828,0.0277906,0,0.00590796
0.01,level,-1.2339e-17,1.03001e-13,-0.000821097,-0.00100041,0,0,-1.21973e-19,-2.07612e-11,4.64852e-18,99.859,99.999,99.8693,-6.49766e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.000232026,-0.00171895,0.00487745,-0.00804532,-0.0158614,0.0375133,0.0415158,0,0.0741538
0.02,level,-2.75504e-16,4.03511e-13,-0.00118903,-0.0015523,0,0,4.60786e-19,-4.05337e-11,1.75641e-17,99.8575,99.9975,99.8693,-3.73628e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0122065,0.00161499,0.000273897,0.0701234,-0.00135995,0.0835728,0.109103,0,0.112034
0.03,level,1.84002e-16,9.0189e-13,-0.00139497,-0.00225989,0,0,1.65341e-18,-6.03063e-11,3.88415e-17,99.855,99.995,99.8693,-3.73852e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00630605,-0.00173619,0.00368801,0.0554166,0.0231665,0.0289684,0.0666848,0,0.152164
0.04,level,-9.81732e-16,1.59731e-12,-0.00165233,-0.00286632,0,0,3.49655e-18,-8.00788e-11,6.83996e-17,99.8515,99.9915,99.8693,-3.74075e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00646884,-0.00535292,-0.00339873,0.0328368,-0.101536,0.0136108,0.107579,0,0.189561
0.05,level,-3.11994e-15,2.48984e-12,-0.00212832,-0.00334305,0,0,5.97666e-18,-9.98514e-11,1.06265e-16,99.847,99.987,99.8693,-3.74299e-05,nan,0.286536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.000408612,-0.00677925,0.00570281,0.00635725,-0.0461861,0.00337746,0.0467437,0,0.227066
0.06,level,-6.25221e-10,2.31106e-09,-0.00220902,-0.00369228,0,0,-5.86195e-07,-2.76789e-06,-0.000702829,99.8416,99.9816,99.8693,-3.74522e-05,nan,0.291426,0.290262,0.291634,0.290778,0.292056,0.290262,0.292056,0.291634,0.290778,1,0,0.00436732,0,-0.000249213,0.00177737,-0.0011647,0.00654439,0.0113588,0,0,0,0.00863899,-0.0016075,0.00668603,-0.184225,-0.0619225,0.00755266,0.1945,0,0.246523
0.07,level,-3.55876e-08,3.14118e-07,-0.00245604,-0.00436906,0,0,-4.30259e-07,-9.01353e-05,0.00055636,99.8352,99.9752,99.8693,-3.74745e-05,nan,0.296164,0.295767,0.295467,0.296077,0.296424,0.295767,0.296424,0.295467,0.296077,1,0,0.00483374,0,0.00171507,0.00240162,-2.07389e-05,0.007096,0.0131249,0,0,0,0.016355,-0.0183454,0.00253792,-0.0128304,-0.102701,0.597363,0.606263,0,0.287185
0.08,level,2.21604e-07,2.42374e-06,-0.0025603,-0.00474307,0,0,6.33367e-05,-0.000379813,0.00041942,99.8279,99.9679,99.8694,1.4692e-05,nan,0.30053,0.299377,0.300918,0.299902,0.301092,0.299377,0.301092,0.300918,0.299902,1,0,0.00525895,0,-0.000930938,0.0013233,-0.00120035,0.00746181,0.0144183,0,0,0,0.00317645,-0.00722036,0.00721112,-0.0253527,-0.0401936,1.50109,1.50184,0,0.308951
0.09,level,1.37549e-06,8.5143e-06,-0.00260588,-0.00515764,0,0,0.000179705,-0.00091983,0.000473127,99.8198,99.9598,99.8694,1.4701e-05,nan,0.304385,0.304007,0.303855,0.304586,0.304373,0.304007,0.304373,0.303855,0.304586,1,0,0.00560993,0,-0.000162459,0.00207855,0.000160274,0.00753921,0.0155343,0,0,0,0.0101022,-0.00060107,0.0047141,-0.00960525,-0.114506,2.5692,2.57176,0,0.331559
