t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,hover,1.54166e-17,1.19068e-33,1.07406e-07,1.69508e-06,0,0,-4.06576e-20,-9.88628e-13,2.03288e-20,99.8595,99.9995,99.8694,-0.00488815,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000214806,0.00339016,0.00696641,0.109687,0.00594226,0.0303522,0.113964,0,9.73152e-05
0.01,hover,-1.2339e-17,1.03001e-13,5.81529e-05,-4.06539e-05,0,0,-1.21973e-19,-2.07612e-11,4.64852e-18,99.859,99.999,99.5544,-0.102739,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0109626,0.00169182,-0.0015435,0.0551992,0.00186293,0.0012954,0.0552458,0,0.00406537
0.02,hover,-2.75504e-16,4.03511e-13,0.000109189,-9.2251e-05,0,0,4.60786e-19,-4.05337e-11,1.75641e-17,99.8575,99.9975,99.5529,-0.200484,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.98139e-13,2.11134e-13,3.06938e-18,-0.000703638,-0.016625,0.00251685,0.0567823,0.0729582,0.109739,0.143492,0,0.00818999
0.03,hover,1.84002e-16,9.0189e-13,0.000174252,-0.000127502,0,0,1.65341e-18,-6.03063e-11,3.88415e-17,99.855,99.995,99.3932,-0.299784,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.98139e-13,2.11134e-13,3.06938e-18,0.00744955,-0.00316741,0.000697797,0.0865531,-0.0296026,0.0986272,0.134518,0,0.0123712
0.04,hover,-9.81732e-16,1.59731e-12,0.000224992,-0.000167498,0,0,3.49655e-18,-8.00788e-11,6.83996e-17,99.8515,99.9915,99.3897,-0.397473,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-5.88393e-13,3.61393e-13,-4.7867e-17,-0.000180052,-0.0102729,0.00020836,0.0608389,-0.0675908,0.065182,0.111887,0,0.0160712
0.05,hover,-3.11994e-15,2.48984e-12,0.000292277,-0.000224332,0,0,5.97666e-18,-9.98514e-11,1.06265e-16,99.847,99.987,99.5736,-0.490528,nan,0.286536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-5.88393e-13,3.61393e-13,-4.7867e-17,0.0154861,-0.00806698,-0.00221549,-0.00881222,-0.0261148,0.0169003,0.0323305,0,0.0211102
0.06,hover,-9.90199e-10,1.35019e-09,0.000337189,-0.000284005,0,0,-8.97254e-07,-1.43495e-06,-0.000372532,99.8416,99.9816,99.5682,-0.588094,nan,0.291426,0.290092,0.292107,0.290511,0.29202,0.290092,0.29202,0.292107,0.290511,1,0,0,0,-0.00134405,0.000630968,-0.00154909,-0.000977929,0.000825712,8.27166e-13,1.81385e-12,-4.32842e-16,0.0224244,-0.0175376,-0.00675811,-0.0454351,-0.0361229,0.0973297,0.113324,0,0.0252594
0.07,hover,-6.88957e-08,1.32291e-07,0.000378417,-0.000314341,0,0,-1.63576e-05,-3.4513e-05,0.000761786,99.8352,99.9752,99.5708,-0.6827,nan,0.296164,0.294947,0.296714,0.295377,0.296698,0.294947,0.296698,0.296714,0.295377,1,0,0,0,-0.00118262,0.000786193,-0.00135696,-0.001111,0.000939906,8.27166e-13,1.81385e-12,-4.32842e-16,0.0161667,-0.00207666,0.00146932,-0.0395944,-0.116513,0.582461,0.595318,0,0.0281942
0.08,hover,-4.64545e-07,8.715e-07,0.000454771,-0.000363394,0,0,-9.02989e-05,-0.000124963,0.000421047,99.8279,99.9679,99.5635,-0.770437,nan,0.30053,0.300039,0.300406,0.300539,0.300306,0.300039,0.300306,0.300406,0.300539,1,0,0,0,-0.00159364,0.000758055,-5.892e-05,-0.00133868,0.00108665,2.48547e-11,3.84083e-11,-8.91878e-15,0.0170866,-0.00235363,7.55594e-05,-0.0201058,-0.12726,1.51675,1.52222,0,0.0334054
0.09,hover,-2.42424e-06,2.71311e-06,0.000508686,-0.000382068,0,0,-0.00034062,-0.000255473,0.000326778,99.8198,99.9598,99.6104,-0.84429,nan,0.304385,0.303589,0.304734,0.30367,0.304828,0.303589,0.304828,0.304734,0.30367,1,0,0,0,3.43688e-05,0.000332665,-0.00101189,-0.00151993,0.00114468,2.48547e-11,3.84083e-11,-8.91878e-15,0.00408132,-0.0010144,-0.00262954,-0.0282682,-0.0326047,2.63929,2.63964,0,0.0366554
0.1,hover,-7.55427e-06,5.98204e-06,0.000556078,-0.000403294,0,0,-0.000726107,-0.000417546,0.000486575,99.8109,99.9509,99.6016,-0.910396,nan,0.307657,0.307332,0.307167,0.307841,0.30769,0.307332,0.30769,0.307167,0.307841,1,0,0,0,3.94388e-05,0.00195582,0.000138812,-0.00165577,0.00119389,2.07887e-10,2.23841e-10,-7.20192e-14,0.008313,-0.010659,0.00118788,-0.112169,-0.0335115,3.74374,3.74557,0,0.0399097
0.11,hover,-1.68976e-05,1.15975e-05,0.000599813,-0.00042387,0,0,-0.00117786,-0.000754643,-0.000246699,99.8015,99.9415,99.7314,-0.950516,nan,0.310324,0.31098,0.30927,0.311542,0.309028,0.31098,0.309028,0.30927,0.311542,1,0,0,0,-0.00212982,0.00060687,0.00185655,-0.00178732,0.00127112,2.07887e-10,2.23841e-10,-7.20192e-14,0.00808167,-0.000325406,0.00266479,-0.0646178,-0.111294,4.94284,4.94451,0,0.043256
0.12,hover,-3.08978e-05,2.12979e-05,0.000616505,-0.000486129,0,0,-0.00165336,-0.0012091,0.000783205,99.7916,99.9316,99.7217,-0.992641,nan,0.312398,0.313352,0.310896,0.31371,0.311274,0.313352,0.311274,0.310896,0.31371,1,0,0,0,5.44547e-05,0.00139538,0.00215044,-0.00183831,0.00144145,3.39476e-10,3.23744e-10,-1.18376e-13,0.00746905,-0.0112934,0.00149442,0.00109021,-0.0781905,6.14292,6.14342,0,0.0471295
0.13,hover,-4.98198e-05,3.58951e-05,0.000670243,-0.000523913,0,0,-0.00217423,-0.00176338,0.000436014,99.7814,99.9214,99.7548,-1.01771,nan,0.313913,0.312587,0.314889,0.313069,0.314855,0.312587,0.314855,0.314889,0.313069,1,0,0.000976562,0,-0.00136905,0.000847125,-0.00179706,-0.00200971,0.00155688,3.39476e-10,3.23744e-10,-1.18376e-13,0.000679655,-0.00990801,-0.0026264,-0.0482863,-0.0566231,7.23832,7.2387,0,0.0522579
0.14,hover,-7.41546e-05,5.6521e-05,-0.0079406,0.00730839,0,0,-0.00271803,-0.00240269,-0.00010189,99.7709,99.9109,99.7445,-1.0384,nan,0.314917,0.314831,0.315145,0.313787,0.315752,0.314831,0.315752,0.315145,0.313787,1,0,0.0107422,0,0.00437883,-0.00082856,-0.0010015,0.0238315,-0.0219282,1.19957e-05,-1.0951e-05,1.5801e-09,0.00679814,-0.00195061,0.0034927,-0.155703,-0.0652422,8.20639,8.20812,0,0.61301
0.15,hover,-0.00010285,8.32167e-05,-5.88559e-05,-0.00447116,0,0,-0.00299726,-0.0029022,-0.000112421,99.7602,99.9002,99.6899,-1.05741,nan,0.315466,0.314624,0.31599,0.315137,0.316042,0.314624,0.316042,0.31599,0.315137,1,0,0.00436732,0,-0.00122022,0.00107005,-0.00099824,0.000173021,0.0134076,-2.03415e-08,1.03155e-05,-6.5143e-07,-0.00235867,-0.00390614,0.00114182,-0.0315267,-0.0682725,9.05404,9.05435,0,0.260963
0.16,hover,-0.000134158,0.000114247,0.000592609,-0.00110731,0,0,-0.00330698,-0.003322,0.000525652,99.7495,99.8895,99.6793,-1.06081,nan,0.315615,0.316353,0.314936,0.316106,0.315071,0.316353,0.315071,0.314936,0.316106,1,0,0,0,0.00100957,-0.000212109,0.00107778,-0.00176887,0.00331809,-3.39743e-07,1.44291e-06,-5.3857e-07,0.00597596,-0.00255618,0.00667231,0.00438283,-0.0871051,9.84724,9.84762,0,0.0814424
0.17,hover,-0.000169072,0.000149588,8.00172e-05,-0.000747023,0,0,-0.00370555,-0.00376041,0.000817733,99.7388,99.8788,99.5831,-1.07563,nan,0.315422,0.315102,0.315523,0.315648,0.315484,0.315102,0.315484,0.315523,0.315648,1,0,0,0,-0.00155256,0.000961103,-0.000112749,-0.000222589,0.00224235,3.18334e-06,-6.66998e-08,-5.32126e-07,0.01164,0.000857185,-0.00664557,-0.0363767,-0.177802,10.513,10.5146,0,0.0533218
0.18,hover,-0.000208137,0.000189513,-0.000445409,-0.00183941,0,0,-0.00408353,-0.00425659,-7.7503e-05,99.7282,99.8682,99.5724,-1.06636,nan,0.314939,0.315305,0.314538,0.315504,0.314531,0.315305,0.314531,0.314538,0.315504,1,0,0.00182698,0,-0.000545864,0.000361339,0.000764708,0.0013367,0.00551206,7.56206e-06,9.81919e-06,-5.71603e-07,0.000345535,-0.00411069,0.0122311,-0.0308038,-0.0829472,10.9308,10.9311,0,0.117049
0.19,hover,-0.000250298,0.000234398,-3.14421e-05,-0.00190975,0,0,-0.00436236,-0.00473884,0.00102141,99.7177,99.8577,99.5464,-1.05603,nan,0.314215,0.314296,0.313812,0.314675,0.314243,0.314296,0.314243,0.313812,0.314675,1,0,0.00182698,0,0.000138349,0.00153498,0.000402495,9.28029e-05,0.00572874,2.7661e-06,1.15476e-05,-5.34682e-07,-0.000993987,-0.000332604,0.00978154,-0.0399992,-0.0571354,11.5022,11.5025,0,0.123497
0.2,hover,-0.000295199,0.000284504,4.44658e-05,-0.00225896,0,0,-0.00463302,-0.00530194,0.00109686,99.7074,99.8474,99.536,-1.03782,nan,0.313294,0.313344,0.31344,0.313825,0.312769,0.313344,0.312769,0.31344,0.313825,1,0,0.00229024,0,-0.00305464,-0.000358062,0.000422027,-0.000127366,0.00677924,2.55563e-06,1.97191e-05,-5.68619e-07,0.00402548,0.00159986,0.000858308,0.0253596,-0.103314,11.7831,11.7836,0,0.147033
0.21,hover,-0.000343349,0.000339995,2.86483e-05,-0.0022509,0,0,-0.00502404,-0.00580383,0.00104636,99.6972,99.8372,99.4723,-1.03317,nan,0.312215,0.311804,0.312393,0.312469,0.312424,0.311804,0.312424,0.312393,0.312469,1,0,0.00169146,0,-0.00168212,0.00131628,-0.000238957,-0.000114973,0.00675264,2.55563e-06,1.97191e-05,-5.68619e-07,-0.0193641,-1.01588e-05,-0.00653415,0.0818629,-0.132523,12.0434,12.0444,0,0.149981
0.22,hover,-0.000395271,0.000400769,3.59296e-05,-0.00222525,0,0,-0.00536403,-0.00642499,0.00101739,99.6873,99.8273,99.4621,-1.00915,nan,0.311012,0.310491,0.311482,0.310429,0.311899,0.310491,0.311899,0.311482,0.310429,1,0,0.00195312,0,0.00126957,0.000673514,-0.00108152,-0.000100107,0.00667819,2.55527e-06,1.97188e-05,-5.68619e-07,0.00510952,0.0016395,-0.00645084,0.0764551,-0.0155697,12.2658,12.266,0,0.152488
0.23,hover,-0.000449927,0.000468329,2.59e-05,-0.00219577,0,0,-0.00553602,-0.00710289,0.00118982,99.6777,99.8177,99.4644,-0.97854,nan,0.309715,0.310761,0.308577,0.310877,0.308912,0.310761,0.308912,0.308577,0.310877,1,0,0.00195312,0,0.000580592,0.000854647,0.00182377,-6.64354e-05,0.006591,2.55527e-06,1.97188e-05,-5.68619e-07,0.00754975,0.00248262,0.0171003,0.0559741,-0.0675497,12.4627,12.463,0,0.155072
0.24,hover,-0.000505704,0.000542313,3.91374e-05,-0.00216969,0,0,-0.00562359,-0.00772718,0.000931351,99.6683,99.8083,99.4547,-0.951102,nan,0.308348,0.30862,0.307972,0.308868,0.308209,0.30862,0.308209,0.307972,0.308868,1,0,0.00195312,0,-2.87343e-05,0.000921291,0.000574368,-0.000120742,0.00652336,2.55358e-06,1.97173e-05,-5.68621e-07,-0.00219886,0.00954949,0.00864966,0.0648992,-7.102e-05,12.5929,12.5931,0,0.158507
