t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,hold 2.0m,-2.77556e-17,4.16334e-16,4.113e-06,-5.83852e-06,0,0,-2.71051e-20,-9.88628e-13,1.35525e-20,1.85995,1.99995,1.86016,-0.00492358,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00822596,-0.0116771,-0.00949552,-0.0544788,0.0802197,-0.0405117,0.105092,0,0.000409194
0.01,hold 2.0m,-6.8876e-17,1.03695e-13,5.88862e-05,-2.96025e-05,0,0,-1.0842e-19,-2.07612e-11,4.63496e-18,1.85941,1.99941,1.59372,-0.102635,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.00267527,0.000804518,-0.00215802,0.067393,-0.0497016,0.0366686,0.0914147,0,0.00377626
0.02,hold 2.0m,-1.65508e-16,4.04482e-13,0.000113251,-4.60059e-05,0,0,4.74338e-19,-4.05337e-11,1.75641e-17,1.85789,1.99789,1.59221,-0.200249,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-8.655e-13,-7.43544e-13,6.66001e-17,-0.0036432,-0.00331257,-0.00539735,0.0554628,-0.0433507,-0.0108199,0.0712213,0,0.00700377
0.03,hold 2.0m,-4.14282e-16,9.02944e-13,0.000170832,-0.000118106,0,0,1.66696e-18,-6.03063e-11,3.88348e-17,1.85539,1.99539,1.43609,-0.299502,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-8.655e-13,-7.43544e-13,6.66001e-17,0.00702794,-0.0018151,-0.000583544,0.0433459,-0.054402,-0.0361796,0.0784054,0,0.0118994
0.04,hold 2.0m,-1.87094e-15,1.59872e-12,0.000233948,-0.00017063,0,0,3.49655e-18,-8.00788e-11,6.83861e-17,1.85191,1.99191,1.4326,-0.397354,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.00701e-13,5.81491e-12,-5.1539e-16,0.0130346,-0.0135697,-0.00508685,0.0171044,-0.0778983,-0.00538477,0.0799356,0,0.0165907
0.05,hold 2.0m,-3.98139e-15,2.49117e-12,0.000301603,-0.00019498,0,0,5.99022e-18,-9.98514e-11,1.06259e-16,1.84746,1.98746,1.49488,-0.493525,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.00701e-13,5.81491e-12,-5.1539e-16,0.0183254,-0.00234918,0.00102617,-0.0475854,-0.111895,0.062484,0.136708,0,0.0205772
0.06,hold 2.0m,-5.18214e-09,-2.8279e-09,0.000339599,-0.000210978,0,0,-2.87078e-06,2.99171e-06,0.000289381,1.84202,1.98202,1.48946,-0.591063,2,0,0.412523,0.412306,0.41277,0.412496,0.412523,0.412496,0.412306,0.41277,1,0,0,0,-0.000151747,0.000828872,0.0002157,-0.00101494,0.00061533,1.68986e-11,7.14001e-11,-8.54704e-15,0.00257488,-0.0117335,0.00579494,-0.0927655,-0.137166,0.151814,0.22465,0,0.0229069
0.07,hold 2.0m,-1.49812e-07,-7.91203e-08,0.000380009,-0.000250693,0,0,-3.92148e-05,1.10142e-05,0.000746435,1.83564,1.97564,1.64855,-0.6756,2,0,0.390237,0.391302,0.390567,0.391602,0.390237,0.391602,0.391302,0.390567,1,0,0,0,-7.87984e-05,0.00119386,-0.000922743,-0.00112932,0.000747854,1.68986e-11,7.14001e-11,-8.54704e-15,0.00714062,-0.00281249,0.011213,-0.0147617,-0.110013,1.0726,1.07833,0,0.0260886
0.08,hold 2.0m,-1.12879e-06,-1.53298e-07,0.000455265,-0.000280568,0,0,-0.00018646,-8.09391e-06,0.0014695,1.82841,1.96841,1.64139,-0.754139,2,0,0.400137,0.399565,0.400218,0.399721,0.400137,0.399721,0.399565,0.400218,1,0,0,0,0.000196606,0.000448401,0.000470044,-0.0013767,0.000843812,4.69594e-11,1.45192e-10,-2.27936e-14,-0.00727249,0.00140096,-0.00880076,-0.0697766,-0.161562,2.75977,2.76537,0,0.0306909
0.09,hold 2.0m,-4.20785e-06,4.36127e-07,0.00050255,-0.0003141,0,0,-0.000470189,-0.000130945,-9.14095e-05,1.82051,1.96051,1.71254,-0.809388,2,0,0.39133,0.392553,0.392068,0.392344,0.39133,0.392344,0.392553,0.392068,1,0,0,0,-0.00251153,0.00100293,-0.00065899,-0.00151122,0.00093966,4.69594e-11,1.45192e-10,-2.27936e-14,-0.00238003,-0.0017622,-0.00524336,-0.101514,-0.154843,4.71211,4.71575,0,0.0341733
0.1,hold 2.0m,-1.09789e-05,2.87262e-06,0.000554197,-0.000337109,0,0,-0.000933894,-0.000396984,-0.000160547,1.81211,1.95211,1.70423,-0.850887,2,0,0.397189,0.398373,0.397209,0.39851,0.397189,0.39851,0.398373,0.397209,1,0,0,0,0.000311654,0.000298978,-0.00109241,-0.00162443,0.001016,9.74105e-11,2.06716e-10,-4.0108e-14,0.0254455,0.00312214,0.00795997,-0.103491,-0.0991925,6.58412,6.58568,0,0.0377897
0.11,hold 2.0m,-2.28466e-05,8.6944e-06,-0.0139095,-0.000704378,0,0,-0.00145485,-0.000801591,-0.000552824,1.80342,1.94342,1.73228,-0.869272,2,0,0.393174,0.395865,0.391657,0.397859,0.393174,0.397859,0.395865,0.391657,1,0,0.0138968,0,0.00931255,0.000903308,-0.00390903,0.0417341,0.00210782,1.55855e-05,3.50162e-07,-1.84321e-09,0.00404274,-0.00354185,-0.00237744,-0.117624,-0.0214546,8.44086,8.44171,0,0.796693
0.12,hold 2.0m,-3.8026e-05,1.9599e-05,-0.00478614,-0.00381992,0,0,-0.0015498,-0.00147647,2.64312e-05,1.79463,1.93463,1.72356,-0.872926,2,0,0.397265,0.395849,0.398298,0.396163,0.397265,0.396163,0.395849,0.398298,1,0,0.0059802,0,-0.00190832,0.00255223,0.0015601,0.0143831,0.0114677,4.79342e-06,2.42276e-06,2.82642e-07,0.0165434,0.00523464,0.00620961,-0.0705315,0.0937553,10.2724,10.2731,0,0.349863
