t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,hold 2.0m,-2.77556e-17,4.16334e-16,3.03187e-06,1.31549e-06,0,0,-2.71051e-20,-9.88628e-13,1.35525e-20,1.85995,1.99995,1.86016,-0.00487121,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00606374,0.00263098,0.000615258,0.0758897,-0.00251085,0.0642369,0.0994582,0,0.000189361
0.01,hold 2.0m,-6.8876e-17,1.03695e-13,7.02724e-05,-2.69946e-05,0,0,-1.0842e-19,-2.07612e-11,4.63496e-18,1.85941,1.99941,1.34618,-0.102571,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00643281,0.00487441,0.00374819,-0.0247858,0.0108943,0.092956,0.0968186,0,0.00431316
0.02,hold 2.0m,-1.65508e-16,4.04482e-13,0.000133039,-5.81115e-05,0,0,4.74338e-19,-4.05337e-11,1.75641e-17,1.85789,1.99789,1.34467,-0.200358,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.29371e-12,2.77165e-12,-2.22919e-16,0.0157255,-0.00915941,0.00241129,0.069296,0.0147082,-0.00375546,0.0709392,0,0.008318
0.03,hold 2.0m,-4.14282e-16,9.02944e-13,0.000183752,-8.47126e-05,0,0,1.66696e-18,-6.03063e-11,3.88348e-17,1.85539,1.99539,1.89304,-0.292657,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.29371e-12,2.77165e-12,-2.22919e-16,0.00409194,-0.0108666,0.0100703,0.0545761,-0.0464413,-0.0036258,0.071753,0,0.0115931
0.04,hold 2.0m,-1.87094e-15,1.59872e-12,0.000255285,-0.000100204,0,0,3.49655e-18,-8.00788e-11,6.83861e-17,1.85191,1.99191,1.88962,-0.390352,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.24207e-12,3.86839e-12,-3.26934e-16,0.00378941,0.000634016,0.00359149,-0.0115685,0.00179368,0.0241976,0.0268807,0,0.0157132
0.05,hold 2.0m,-3.98139e-15,2.49117e-12,0.000304133,-0.000131425,0,0,5.99022e-18,-9.98514e-11,1.06259e-16,1.84746,1.98746,2.04137,-0.484291,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.24207e-12,3.86839e-12,-3.26934e-16,-0.000136221,-0.00127998,-0.00774647,-0.00941289,-0.0262123,0.00751208,0.0288465,0,0.0189829
0.06,hold 2.0m,-3.23941e-09,6.83298e-10,0.00035068,-0.00017142,0,0,-2.68375e-06,-6.52777e-07,5.78685e-05,1.84202,1.98202,2.03604,-0.581825,2,0,0.294088,0.295826,0.294395,0.295898,0.294088,0.295898,0.295826,0.294395,1,0,0,0,-0.00065226,0.000752858,-0.00149281,-0.00103809,0.000498166,-1.17138e-11,-5.05548e-12,1.5702e-15,0.00929612,-0.0107305,-0.00648868,-0.0929888,-0.0322076,0.0849597,0.130009,0,0.0223647
0.07,hold 2.0m,-1.4799e-07,1.19209e-07,0.000390116,-0.000208686,0,0,-2.66223e-05,-3.64318e-05,0.00100361,1.83562,1.97562,1.96106,-0.679889,2,0,0.31666,0.317682,0.317648,0.31719,0.31666,0.31719,0.317682,0.317648,1,0,0,0,-0.00411614,0.000986054,-0.000260119,-0.00114734,0.000612697,-1.17138e-11,-5.05548e-12,1.5702e-15,0.0153402,-0.00890679,-0.000884952,0.0142285,0.037595,0.570022,0.571437,0,0.0253598
0.08,hold 2.0m,-6.40604e-07,9.66375e-07,0.000462129,-0.00024005,0,0,-8.96108e-05,-0.000150191,0.000480402,1.82832,1.96832,1.95382,-0.766652,2,0,0.326035,0.326911,0.326215,0.326814,0.326035,0.326814,0.326911,0.326215,1,0,0,0,-0.00076895,0.000164925,-0.000679419,-0.00137416,0.000731826,-9.28314e-11,-9.56915e-11,2.32023e-14,0.00815585,0.00778948,0.0110769,0.00382341,0.0718715,1.72204,1.72355,0,0.0298952
0.09,hold 2.0m,-2.13678e-06,3.23983e-06,0.000528388,-0.000256274,0,0,-0.000243274,-0.00030929,0.00153973,1.82022,1.96022,1.83873,-0.848647,2,0,0.354453,0.354575,0.354934,0.354294,0.354453,0.354294,0.354575,0.354934,1,0,0,0,-0.00211859,0.000398171,0.000238546,-0.00158296,0.00076932,-9.28314e-11,-9.56915e-11,2.32023e-14,0.00147111,0.000331643,0.000621505,0.077522,0.00423898,3.04171,3.0427,0,0.0338386
0.1,hold 2.0m,-6.02287e-06,7.2187e-06,0.000568405,-0.000298567,0,0,-0.000583893,-0.000533091,0.00105838,1.81147,1.95147,1.82993,-0.908248,2,0,0.360392,0.362868,0.360312,0.363212,0.360392,0.363212,0.362868,0.360312,1,0,0,0,0.00117543,0.00052414,-0.00247676,-0.00169626,0.000896362,-2.9284e-11,-2.47226e-11,1.07334e-15,0.00596611,0.000436025,-0.00761633,0.0918474,0.0192153,4.5259,4.52688,0,0.0372851
0.11,hold 2.0m,-1.39599e-05,1.43511e-05,0.000623381,-0.000347148,0,0,-0.00105206,-0.00094713,0.00187254,1.80222,1.94222,1.84901,-0.94832,2,0,0.362676,0.361729,0.3628,0.361309,0.362676,0.361309,0.361729,0.3628,1,0,0,0,-0.00151171,-0.000588432,0.00112272,-0.00187115,0.0010308,-2.9284e-11,-2.47226e-11,1.07334e-15,-0.000670749,-0.00710048,-0.00358072,0.0635498,-0.0497396,6.28257,6.28309,0,0.0419819
0.12,hold 2.0m,-2.7209e-05,2.63757e-05,-0.00858473,-0.0110534,0,0,-0.00164843,-0.00149423,0.00213521,1.79264,1.93264,1.83938,-0.974781,2,0,0.365526,0.366578,0.365505,0.368418,0.365526,0.368418,0.366578,0.365505,1,0,0.0139993,0,0.00517721,0.00361121,-0.00182697,0.0257422,0.0331611,1.10312e-05,1.27563e-05,-7.6992e-09,-0.00706895,0.000492051,0.00688308,0.107032,-0.0972418,7.90209,7.90341,0,0.802119
0.13,hold 2.0m,-4.57921e-05,4.52371e-05,-0.00904997,-0.00605765,0,0,-0.00198543,-0.00244914,0.00284452,1.78289,1.92289,1.72874,-0.998887,2,0,0.387829,0.388814,0.387698,0.390392,0.387829,0.390392,0.388814,0.387698,1,0,0.0108086,0,0.00475199,0.00287639,-0.00169493,0.0271693,0.0181635,1.21871e-05,4.42428e-06,-2.82578e-07,0.0132477,-0.00644636,0.0031897,-0.0404194,0.00618595,9.48153,9.48161,0,0.623235
0.14,hold 2.0m,-6.52085e-05,7.65594e-05,-0.00605353,-0.00379308,0,0,-0.00182147,-0.00394148,0.00248321,1.77314,1.91314,1.71877,-0.993092,2,0,0.390665,0.389677,0.390273,0.390353,0.390665,0.390353,0.389677,0.390273,1,0,0.0070421,0,0.00296973,0.000565375,0.000418432,0.0181653,0.0113845,4.66658e-06,-3.18486e-06,-4.34818e-07,0.00321661,0.00348636,-0.00706351,-0.0452496,0.106592,11.1017,11.1023,0,0.408511
0.15,hold 2.0m,-8.08057e-05,0.000123982,-0.00642776,-0.00440583,0,0,-0.00116518,-0.00566092,0.00176735,1.76354,1.90354,1.70725,-0.972559,2,0,0.391305,0.389962,0.391394,0.390434,0.391305,0.390434,0.389962,0.391394,1,0,0.00778193,0,0.00106645,0.00111372,0.00106048,0.0193021,0.0132224,6.48807e-06,-2.67544e-07,-3.98504e-07,0.0126694,0.00318141,0.00948283,0.0161777,0.061065,12.6009,12.6011,0,0.446776
0.16,hold 2.0m,-8.73022e-05,0.000189392,-0.00638105,-0.00440844,0,0,-1.15525e-05,-0.00751839,0.00138179,1.75423,1.89423,1.69769,-0.938612,2,0,0.388767,0.390693,0.388038,0.391489,0.388767,0.391489,0.390693,0.388038,1,0,0.00772041,0,0.00423983,0.000132802,-0.0024774,0.0191507,0.0132228,6.48813e-06,-2.67476e-07,-3.98504e-07,0.00520139,-0.00178132,0.0105868,0.0632881,0.0964178,13.8258,13.8263,0,0.446589
0.17,hold 2.0m,-8.02885e-05,0.000273037,-0.00632396,-0.00434298,0,0,0.00155129,-0.00926485,0.00275475,1.74533,1.88533,1.68403,-0.894445,2,0,0.38937,0.387413,0.389321,0.388016,0.38937,0.388016,0.387413,0.389321,1,0,0.0076584,0,0.0018139,0.00110055,0.00150314,0.0189744,0.0130385,6.48813e-06,-2.67476e-07,-3.98504e-07,0.00174121,0.00639966,-0.00685528,0.117064,0.131983,14.8628,14.8638,0,0.444896
0.18,hold 2.0m,-5.66996e-05,0.000374001,-0.00626589,-0.00427412,0,0,0.00327982,-0.0110123,0.00239753,1.73694,1.87694,1.67535,-0.840138,2,0,0.385442,0.385628,0.385244,0.3857,0.385442,0.3857,0.385628,0.385244,1,0,0.00746927,0,0.000754083,-0.000249913,-0.000295827,0.0188055,0.0128331,6.4871e-06,-2.68546e-07,-3.98508e-07,0.00532143,0.00715542,-0.00535489,0.169477,0.0598128,15.6309,15.632,0,0.444413
0.19,hold 2.0m,-1.53198e-05,0.000491651,-0.00618105,-0.00420617,0,0,0.00510868,-0.0125764,0.0016526,1.72913,1.86913,1.72102,-0.765058,2,0,0.371094,0.370469,0.371279,0.370716,0.371094,0.370716,0.370469,0.371279,1,0,0.00746927,0,0.000172699,0.000857477,0.0005479,0.0185737,0.012638,6.4871e-06,-2.68546e-07,-3.98508e-07,0.020429,0.0130248,-0.00929149,-0.0856766,0.0510277,16.0427,16.043,0,0.444145
0.2,hold 2.0m,4.43795e-05,0.000623984,-0.00606374,-0.00409787,0,0,0.00690032,-0.0138865,0.00116467,1.72195,1.86195,1.71369,-0.700014,2,0,0.366757,0.366662,0.366755,0.3663,0.366757,0.3663,0.366662,0.366755,1,0,0.00720939,0,-0.0010027,-0.000721618,0.000253321,0.0182208,0.0123015,6.48903e-06,-2.66626e-07,-3.98501e-07,0.0197602,0.005267,-0.00515017,-0.0806734,-0.0717489,16.4934,16.4938,0,0.442368
