t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,hover,1.54166e-17,1.19068e-33,4.13293e-06,7.14144e-06,0,0,-4.06576e-20,-9.88628e-13,2.03288e-20,99.8595,99.9995,99.8694,-0.00486583,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00826586,0.0142829,-0.00179185,0.0577872,-0.0204679,0.0750005,0.0968678,0,0.000472756
0.01,hover,-1.2339e-17,1.03001e-13,3.12821e-05,-1.54962e-05,0,0,-1.21973e-19,-2.07612e-11,4.64852e-18,99.859,99.999,99.6324,-0.102586,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00161819,0.000367851,0.00389505,0.0259515,-0.0296485,0.149723,0.154821,0,0.00200019
0.02,hover,-2.75504e-16,4.03511e-13,7.21554e-05,-2.58948e-05,0,0,4.60786e-19,-4.05337e-11,1.75641e-17,99.8575,99.9975,99.6309,-0.200381,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.32995e-13,-2.1938e-13,8.90798e-18,0.00853532,-0.0200391,-0.00460016,0.0125833,-0.0638933,0.0317467,0.0724469,0,0.00439237
0.03,hover,1.84002e-16,9.0189e-13,0.000116162,-3.56579e-05,0,0,1.65341e-18,-6.03063e-11,3.88415e-17,99.855,99.995,99.74,-0.297166,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.32995e-13,-2.1938e-13,8.90798e-18,0.0109106,0.00458011,0.00586385,-0.0334541,0.00565885,0.0509732,0.0612329,0,0.00696209
0.04,hover,-9.81732e-16,1.59731e-12,0.000154776,-4.2175e-05,0,0,3.49655e-18,-8.00788e-11,6.83996e-17,99.8515,99.9915,99.7365,-0.394979,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.21264e-12,-1.95997e-12,2.24614e-16,0.0060681,-0.000505258,-0.00464278,-0.0819685,0.0223092,0.0765518,0.114353,0,0.00919135
0.05,hover,-3.11994e-15,2.48984e-12,0.00020012,-5.51658e-05,0,0,5.97666e-18,-9.98514e-11,1.06265e-16,99.847,99.987,99.6272,-0.495493,nan,0.286536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.21264e-12,-1.95997e-12,2.24614e-16,0.0157781,-0.00173232,-0.00262335,0.0146823,-0.0408541,0.106677,0.115173,0,0.0118937
0.06,hover,-4.15736e-09,-3.82085e-10,0.000275036,-9.2255e-05,0,0,-3.6827e-06,6.82253e-08,-0.000118798,99.8416,99.9816,99.6217,-0.593152,nan,0.291426,0.290964,0.291303,0.291618,0.290845,0.290964,0.290845,0.291303,0.291618,1,0,0,0,-0.0029493,0.000370813,0.000190617,-0.000815288,0.00025487,-3.05852e-12,-4.96958e-12,5.92423e-16,0.00654775,-0.0145945,0.00813876,0.0516648,-0.0520554,0.0669286,0.0992897,0,0.0166215
0.07,hover,-2.36249e-07,1.70728e-08,0.000330879,-9.52047e-05,0,0,-5.93747e-05,-5.63034e-06,0.000107729,99.8352,99.9752,99.5916,-0.689246,nan,0.296164,0.29583,0.295958,0.295933,0.296014,0.29583,0.296014,0.295958,0.295933,1,0,0,0,-0.000126446,0.000299747,-9.14368e-05,-0.00100687,0.00027861,-3.05852e-12,-4.96958e-12,5.92423e-16,-0.00948629,-0.0046682,0.00365824,-0.13154,-0.129012,0.586592,0.614847,0,0.0197404
0.08,hover,-1.45813e-06,2.25126e-07,0.00037006,-0.000115098,0,0,-0.000202477,-4.25726e-05,0.00046743,99.8279,99.9679,99.5842,-0.776989,nan,0.30053,0.299453,0.301422,0.299812,0.300603,0.299453,0.300603,0.301422,0.299812,1,0,0,0,-0.00312405,-0.000871797,-0.00121249,-0.00111913,0.000342222,9.25738e-12,1.90034e-11,-3.14087e-15,-0.0059694,-0.00204891,-0.00338913,-0.013235,-0.101229,1.50219,1.50565,0,0.0222884
0.09,hover,-4.6086e-06,8.27939e-07,0.0004247,-0.000165715,0,0,-0.000469294,-7.72839e-05,0.000350982,99.8198,99.9598,99.6456,-0.849745,nan,0.304385,0.303705,0.30424,0.304099,0.304777,0.303705,0.304777,0.30424,0.304099,1,0,0,0,0.000376782,0.00176419,-0.000533264,-0.00127861,0.000481434,9.25738e-12,1.90034e-11,-3.14087e-15,-0.00300428,-0.010467,0.0155768,-0.00566479,-0.0321671,2.60774,2.60795,0,0.0263836
0.1,hover,-1.09887e-05,1.86081e-06,0.000476357,-0.000175898,0,0,-0.000846517,-0.000127627,-5.97565e-05,99.8109,99.9509,99.6368,-0.915735,nan,0.307657,0.306414,0.308145,0.3072,0.308272,0.306414,0.308272,0.308145,0.3072,1,0,0,0,-0.00174597,0.00173078,-0.00123219,-0.00142209,0.000518773,-1.6648e-11,-6.32515e-12,1.64736e-15,0.0046552,-0.00594549,0.00209743,0.0262359,-0.00172867,3.78488,3.78497,0,0.0297223
0.11,hover,-2.1507e-05,3.71172e-06,0.000501115,-0.000200692,0,0,-0.00128029,-0.00026181,0.00192338,99.8015,99.9415,99.5676,-0.975775,nan,0.310324,0.309831,0.310286,0.310284,0.31042,0.309831,0.31042,0.310286,0.310284,1,0,0,0,-0.000844172,0.00111377,-0.000259972,-0.00149064,0.000573028,-1.6648e-11,-6.32515e-12,1.64736e-15,0.00847241,-0.0193643,0.00122111,-0.0634125,-0.146565,4.97809,4.98065,0,0.0321529
0.12,hover,-3.64874e-05,7.29077e-06,0.000533898,-0.000224882,0,0,-0.00175682,-0.000494911,0.000676935,99.7916,99.9316,99.5577,-1.018,nan,0.312398,0.31215,0.312518,0.312162,0.312402,0.31215,0.312402,0.312518,0.312162,1,0,0,0,-0.000339043,-0.000197999,-0.000266875,-0.00160873,0.000642659,5.57319e-11,3.99057e-11,-1.0883e-14,-0.00468985,-0.0213255,-0.00113783,-0.082279,-0.0945996,6.172,6.17327,0,0.0352844
