t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,hover,1.54166e-17,1.19068e-33,2.06798e-06,-5.87828e-07,0,0,-4.06576e-20,-9.88628e-13,2.03288e-20,99.8595,99.9995,99.8694,-0.00488943,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00413596,-0.00117565,0.00577144,0.00144086,0.0402119,0.0277843,0.0488983,0,0.00012318
0.01,hover,-1.2339e-17,1.03001e-13,4.5553e-05,-3.2264e-05,0,0,-1.21973e-19,-2.07612e-11,4.64852e-18,99.859,99.999,100.122,-0.102368,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0044073,-0.000612494,0.00561068,-0.0107363,-0.0632895,0.0353479,0.0732823,0,0.00319834
0.02,hover,-2.75504e-16,4.03511e-13,0.000113709,-3.80665e-05,0,0,4.60786e-19,-4.05337e-11,1.75641e-17,99.8575,99.9975,100.121,-0.200072,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-5.445e-13,-1.42091e-13,2.25602e-17,0.0109457,0.000775392,-0.00290558,0.0260779,-0.0335967,0.0439508,0.0611594,0,0.00687041
0.03,hover,1.84002e-16,9.0189e-13,0.00018181,-7.11121e-05,0,0,1.65341e-18,-6.03063e-11,3.88415e-17,99.855,99.995,100.034,-0.298719,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-5.445e-13,-1.42091e-13,2.25602e-17,0.00112339,0.000455502,0.00269856,-0.0253982,-0.0147007,0.0268337,0.0397647,0,0.0111854
0.04,hover,-9.81732e-16,1.59731e-12,0.000230518,-0.000115887,0,0,3.49655e-18,-8.00788e-11,6.83996e-17,99.8515,99.9915,100.03,-0.396305,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.79938e-11,-1.32012e-11,3.04298e-15,0.000844256,-0.00951335,0.00540225,-0.0131574,-0.0142748,0.00594281,0.0203028,0,0.0147828
0.05,hover,-3.11994e-15,2.48984e-12,0.000269846,-0.000149006,0,0,5.97666e-18,-9.98514e-11,1.06265e-16,99.847,99.987,99.7798,-0.500136,nan,0.286536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.79938e-11,-1.32012e-11,3.04298e-15,0.00259527,0.00215794,-0.012637,0.025167,-0.0232999,-0.0272842,0.0438257,0,0.0176616
0.06,hover,-1.95578e-09,1.74153e-10,0.000313033,-0.000161491,0,0,-1.78331e-06,-3.40256e-08,0.000296894,99.8416,99.9816,99.7743,-0.597734,nan,0.291426,0.291206,0.291154,0.291675,0.290695,0.291206,0.290695,0.291154,0.291675,1,0,0,0,-0.00246035,2.01039e-05,0.000453384,-0.000942745,0.00047996,-4.88226e-11,-2.85402e-11,6.94203e-15,-0.00242879,-0.00300687,0.0100121,-0.0493369,-0.0460232,0.167365,0.180453,0,0.0201817
0.07,hover,-1.97532e-07,2.41809e-09,0.000353166,-0.000205844,0,0,-5.49801e-05,-8.70699e-06,0.000414346,99.8352,99.9752,99.7167,-0.695134,nan,0.296164,0.296611,0.295144,0.29702,0.294961,0.296611,0.294961,0.295144,0.29702,1,0,0,0,-0.00157135,0.000425938,0.0015496,-0.00106523,0.000617506,-4.88226e-11,-2.85402e-11,6.94203e-15,-0.0038206,-1.82702e-05,-0.000277669,0.00334615,-0.0869414,0.548913,0.555766,0,0.023431
0.08,hover,-1.36504e-06,3.73171e-07,0.000379555,-0.00022483,0,0,-0.000202459,-8.31534e-05,-0.000238065,99.8279,99.9679,99.7093,-0.782869,nan,0.30053,0.300287,0.300365,0.300045,0.300593,0.300287,0.300593,0.300365,0.300045,1,0,0,0,0.0012463,-2.84102e-05,-0.000274883,-0.00113459,0.000670891,7.15812e-11,6.84379e-11,-1.92318e-14,0.00271772,-0.00239947,-0.00118832,-0.0186624,0.0195556,1.51719,1.51743,0,0.0253541
0.09,hover,-4.3438e-06,1.83311e-06,0.000427567,-0.000253688,0,0,-0.000428129,-0.000212116,-0.000469247,99.8198,99.9598,99.8124,-0.852903,nan,0.304385,0.303828,0.304406,0.304662,0.303925,0.303828,0.303925,0.304406,0.304662,1,0,0,0,-0.00348892,0.000669554,6.99099e-05,-0.0012864,0.000750415,7.15812e-11,6.84379e-11,-1.92318e-14,-0.0024605,-0.00709599,0.0101624,-0.0495115,-0.00585968,2.56703,2.56751,0,0.028753
0.1,hover,-1.02926e-05,4.85303e-06,0.00047164,-0.000272169,0,0,-0.000814365,-0.000428848,-4.38823e-05,99.8109,99.9509,99.8035,-0.918979,nan,0.307657,0.306764,0.307995,0.307333,0.30794,0.306764,0.30794,0.307995,0.307333,1,0,0,0,-0.00165639,0.000974687,-0.000807687,-0.00141746,0.000813322,1.01746e-10,9.63565e-11,-2.69694e-14,-0.00169044,-0.00212207,0.0050589,0.0114456,-0.0549426,3.76498,3.7654,0,0.0318495
0.11,hover,-2.06874e-05,1.06469e-05,0.000519556,-0.000284435,0,0,-0.00129998,-0.000745452,0.000275467,99.8015,99.9415,99.8063,-0.971777,nan,0.310324,0.308951,0.311292,0.309074,0.311504,0.308951,0.311504,0.311292,0.309074,1,0,0,0,0.000237831,0.000636065,-0.00209725,-0.00153788,0.000847478,1.01746e-10,9.63565e-11,-2.69694e-14,0.0138604,-0.00388681,-0.0044904,0.00725564,-0.0381628,4.86958,4.86973,0,0.03527
0.12,hover,-3.63441e-05,1.97357e-05,0.000534964,-0.000299843,0,0,-0.0018697,-0.00109152,0.000699569,99.7916,99.9316,99.7963,-1.01402,nan,0.312398,0.312519,0.311956,0.312593,0.312164,0.312519,0.312164,0.311956,0.312593,1,0,0,0,0.000357237,0.000533561,0.000436373,-0.00161621,0.000882312,3.62052e-10,3.55743e-10,-9.89713e-14,-0.00754217,-0.0114766,0.00189311,-0.0217933,-0.0781324,6.18249,6.18302,0,0.0375068
0.13,hover,-5.778e-05,3.25053e-05,0.000572458,-0.000327235,0,0,-0.00245181,-0.00149866,0.000550565,99.7814,99.9214,99.8428,-1.03746,nan,0.313913,0.313151,0.314287,0.313581,0.31438,0.313151,0.31438,0.314287,0.313581,1,0,0,0,-0.000892015,0.000990898,-0.000850638,-0.00170599,0.000981887,3.62052e-10,3.55743e-10,-9.89713e-14,0.00758826,0.000123931,0.00575519,0.0118747,-0.133478,7.23132,7.23256,0,0.0415785
0.14,hover,-8.51159e-05,4.98285e-05,-0.00983689,0.0110279,0,0,-0.00304959,-0.00200161,0.000606413,99.7709,99.9109,99.8323,-1.05786,nan,0.314917,0.315762,0.314721,0.313713,0.315318,0.315762,0.315318,0.314721,0.313713,1,0,0.0147781,0,0.00701923,-0.00275029,-0.000248332,0.0295033,-0.0330899,1.45371e-05,-1.58613e-05,3.62666e-09,-0.00392263,-0.0038929,-0.000465394,0.0295794,-0.0456049,8.11185,8.11204,0,0.841316
0.15,hover,-0.000117317,7.12993e-05,-0.00275404,0.00269868,0,0,-0.00333049,-0.00216862,-2.95239e-06,99.7602,99.9002,99.7793,-1.0768,nan,0.315466,0.315685,0.315392,0.31545,0.315266,0.315685,0.315266,0.315392,0.31545,1,0,0.00358812,0,0.000288238,-0.000684695,0.000209694,0.00828073,-0.00811017,4.0068e-06,-1.52022e-07,-7.88538e-07,0.0124136,-0.00942545,0.00328942,-0.0921491,-0.0442324,9.0508,9.05137,0,0.21327
0.16,hover,-0.000151144,9.21355e-05,-0.00316295,0.00182837,0,0,-0.00343277,-0.00196996,0.000327844,99.7495,99.8895,99.7684,-1.08019,nan,0.315615,0.314786,0.316626,0.314142,0.316912,0.314786,0.316912,0.316626,0.314142,1,0,0.00358812,0,0.00246876,-0.000679763,-0.00202626,0.00950315,-0.00548247,7.60684e-06,2.58129e-06,-9.06081e-07,0.00954579,0.00175516,0.00500803,-0.117183,-0.138047,9.90281,9.90446,0,0.199184
0.17,hover,-0.000185507,0.000110381,-0.00189532,0.002177,0,0,-0.00343433,-0.00163035,0.000802444,99.7388,99.8788,99.7136,-1.08614,nan,0.315422,0.315571,0.315388,0.314885,0.315912,0.315571,0.315912,0.315388,0.314885,1,0,0.00267443,0,0.00321267,-0.000307373,-0.000371197,0.00568519,-0.00652516,2.23183e-06,3.62579e-07,-7.71866e-07,-0.00052872,0.00387777,0.00783843,-0.0196978,-0.0376033,10.4443,10.4444,0,0.153677
0.18,hover,-0.000219158,0.000124446,-0.00216132,0.00268224,0,0,-0.00325904,-0.0011411,0.000985788,99.7282,99.8682,99.7028,-1.07654,nan,0.314939,0.31456,0.315488,0.31383,0.316,0.31456,0.316,0.315488,0.31383,1,0,0.00331169,0,0.00329325,-0.000412227,-0.00136173,0.00647586,-0.00804797,4.63784e-06,-2.72579e-06,-8.13379e-07,-0.00537258,-0.000817925,-0.00763116,-0.0368561,-0.123771,11.094,11.0947,0,0.184006
0.19,hover,-0.000250185,0.00013335,-0.00185147,0.00146772,0,0,-0.00293247,-0.000590051,0.00123541,99.7177,99.8577,99.7036,-1.0593,nan,0.314215,0.313684,0.314832,0.313608,0.314902,0.313684,0.314902,0.314832,0.313608,1,0,0.00229024,0,0.000389348,-1.12447e-05,-0.00107372,0.00555957,-0.00440184,1.1117e-06,1.25775e-05,-7.96717e-07,0.00342288,0.000872549,0.0104366,-0.0417186,-0.0275022,11.4871,11.4872,0,0.119424
0.2,hover,-0.00027786,0.000136563,-0.00131435,0.00068416,0,0,-0.00256406,-5.03872e-05,0.00216704,99.7074,99.8474,99.6931,-1.04101,nan,0.313294,0.312717,0.313668,0.312626,0.314368,0.312717,0.314368,0.313668,0.312626,1,0,0.00119604,0,0.00209629,0.00115306,-0.00118373,0.00393281,-0.00206015,-8.3342e-06,2.57042e-05,-7.37764e-07,-0.00683132,-0.0050888,0.00213023,0.00253696,-0.0502993,11.7938,11.7939,0,0.0671644
0.21,hover,-0.000301399,0.000134999,-0.00129029,0.000665375,0,0,-0.00212645,0.000382752,0.00267881,99.6972,99.8372,99.6641,-1.02544,nan,0.312215,0.313187,0.311172,0.312993,0.311738,0.313187,0.311738,0.311172,0.312993,1,0,0.00138107,0,0.00201663,0.000705615,0.00143738,0.00386569,-0.00200176,-8.3342e-06,2.57042e-05,-7.37764e-07,-0.00345233,-0.00372097,-0.00930166,-0.0274926,-0.101811,12.0733,12.0737,0,0.0642928
0.22,hover,-0.000320669,0.00012944,-0.00124724,0.000617305,0,0,-0.00171978,0.000722647,0.00261858,99.6873,99.8273,99.654,-1.0013,nan,0.311012,0.311187,0.3108,0.310973,0.31134,0.311187,0.31134,0.3108,0.310973,1,0,0.00138107,0,0.00199924,0.00062058,8.76109e-06,0.00374056,-0.00186344,-8.33682e-06,2.5702e-05,-7.37787e-07,-0.000783325,-0.00765681,0.00130743,-0.0158902,-0.0527549,12.2979,12.298,0,0.0599961
