t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,hover,1.54166e-17,1.19068e-33,-8.53646e-05,-5.46059e-05,0,0,-4.06576e-20,-9.88628e-13,2.03288e-20,99.8595,99.9995,99.8693,-7.00016e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0012728,-0.00715656,-0.0101239,0.0211401,-0.0356292,0.0590853,0.0721624,0,0.00580611
0.01,hover,-1.76821e-16,3.14411e-10,-0.000452724,-0.0015836,0,0,1.01556e-15,-1.3567e-07,3.71125e-14,99.859,99.999,99.8693,-7.00437e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0121735,-0.00611579,-0.00384695,0.0577545,-0.059803,0.0891463,0.121898,0,0.0943685
0.02,hover,-2.56012e-16,5.03877e-09,-0.000677505,-0.00216939,0,0,1.62818e-14,-1.04647e-06,5.75618e-13,99.8575,99.9975,99.8693,-7.00857e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00514945,0.00046928,-0.000720523,0.1129,-0.0709891,-0.0215183,0.135088,0,0.130218
0.03,hover,6.82293e-16,2.55163e-08,-0.00128305,-0.00242715,0,0,8.2454e-14,-3.48858e-06,2.88403e-12,99.855,99.995,99.8693,-7.01278e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00689153,-0.000212305,-0.00159505,-0.000372451,-0.0334015,-0.0475054,0.0580737,0,0.157302
0.04,hover,1.47088e-15,8.06518e-08,-0.0020391,-0.00251123,0,0,2.60623e-13,-8.21812e-06,9.06778e-12,99.8515,99.9915,99.8693,-7.01698e-05,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00449353,-0.00712037,-0.0026972,-0.0597825,0.0115202,0.0348997,0.0701758,0,0.185346
0.05,hover,4.71378e-15,1.96911e-07,-0.00269821,-0.00310367,0,0,6.36311e-13,-1.59911e-05,2.20691e-11,99.847,99.987,99.8693,-7.02119e-05,nan,0.286536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.00234515,0.00916579,-0.00530398,0.0459809,0.016788,-0.00548073,0.0492556,0,0.23564
0.06,hover,6.26278e-10,5.19726e-07,-0.00272915,-0.00390085,0,0,1.43531e-06,-0.000130422,0.000986144,99.8416,99.9816,99.8691,-0.000130555,nan,0.291426,0.290192,0.291422,0.29074,0.292377,0.290192,0.292377,0.291422,0.29074,1,0,0.00458049,0,0.00107731,0.00284708,-0.00126024,0.00795066,0.0118727,0,0,0,-0.0021009,-0.0121592,0.0100363,-0.050778,-0.0641817,0.159045,0.178866,0,0.272796
0.07,hover,1.72281e-07,9.19645e-06,-0.00296564,-0.00455865,0,0,4.54707e-05,-0.00233504,0.000860096,99.8352,99.9752,99.8691,-0.000130633,nan,0.296164,0.295004,0.296287,0.295184,0.297261,0.295004,0.297261,0.296287,0.295184,1,0,0.00539324,0,0.00210458,0.00218743,-0.00147636,0.00861447,0.0135966,0,0,0,0.0050246,-0.00141317,0.00379191,0.0178528,-0.0576747,0.660441,0.663195,0,0.312045
0.08,hover,1.12975e-06,6.15723e-05,-0.00320688,-0.00486745,0,0,0.000163787,-0.00948802,0.00237694,99.8279,99.9679,99.8693,-5.93841e-05,nan,0.30053,0.300187,0.300054,0.300528,0.30052,0.300187,0.30052,0.300054,0.300528,1,0,0.00569429,0,0.000333816,0.00152816,6.17601e-05,0.0093434,0.0145139,0,0,0,0.00605567,0.000843386,-0.00202822,0.0352633,-0.0939814,1.5002,1.50356,0,0.336959
0.09,hover,3.5483e-06,0.00021603,-0.00339874,-0.00472286,0,0,0.00033847,-0.0232903,0.00219137,99.8198,99.9598,99.8693,-5.94195e-05,nan,0.304385,0.305016,0.303404,0.304787,0.303614,0.305016,0.303614,0.303404,0.304787,1,0,0.00585938,0,0.00116479,-3.53266e-05,0.0012237,0.0100148,0.014426,0,0,0,0.00480191,0.0161502,-0.0112863,-0.0506661,-0.059715,2.5925,2.59368,0,0.343624
