t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0,ground hold,1.33648e-17,4.996e-16,-1.76535e-06,-2.42557e-06,0,0,-2.71051e-20,-9.88628e-13,6.77626e-21,9.9418e-10,0.14,-1.21566e-06,-0.00486264,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0035307,-0.00485114,-0.00463508,0.0395118,-0.0299843,0.0813743,0.0952996,0,0.000171886
0.01,ground hold,-9.66316e-17,3.17464e-10,4.99718e-05,-5.67174e-05,0,0,1.02544e-15,-1.36987e-07,3.74728e-14,-0.000539703,0.13946,-0.258133,-0.102642,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00888942,-0.00743554,-0.00769155,0.114693,-0.053679,0.0808005,0.150215,0,0.00433108
0.02,ground hold,-3.14601e-16,5.08769e-09,7.55299e-05,-7.81758e-05,0,0,1.64399e-14,-1.05663e-06,5.81207e-13,-0.0020578,0.137942,-0.259649,-0.200468,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-9.27331e-14,9.85417e-15,-7.1962e-19,0.000120875,0.00162508,0.00504176,-0.0480511,0.00807011,0.0698986,0.0852047,0,0.0062284
0.03,ground hold,-2.76813e-16,2.5764e-08,0.000141449,-0.00011597,0,0,8.32545e-14,-3.52245e-06,2.91203e-12,-0.0045553,0.135445,-0.075746,-0.296443,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-9.27331e-14,9.85417e-15,-7.1962e-19,0.000125276,-0.00553597,-0.00184382,-0.000287029,-0.0150423,0.0167256,0.0224966,0,0.010481
0.04,ground hold,4.05881e-16,8.14348e-08,0.000180171,-0.000164371,0,0,2.63153e-13,-8.29791e-06,9.15582e-12,-0.00803215,0.131968,-0.0791999,-0.394307,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.59753e-12,-2.28145e-12,2.88074e-16,0.00148698,-0.00622924,-0.0050095,0.00224754,0.0220584,0.00174095,0.0222409,0,0.0139767
0.05,ground hold,1.24784e-08,0.000162918,0.000207834,-4.00798e-05,0,0,1.45128e-06,-0.0435361,-1.47239e-08,-0.0112746,0.128725,-0.173338,-0.153688,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.59753e-12,-2.28145e-12,2.88074e-16,-0.0052366,0.0297355,0.011103,0.332245,0.0388264,57.7799,57.7809,0,0.0166443
0.06,ground hold,1.39458e-08,0.000409517,0.000240437,0.000137219,0,0,-4.42932e-07,-0.00576068,-1.36797e-09,-0.0114606,0.128539,-0.173804,-0.00272204,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.83406e-12,7.73487e-11,-8.65731e-15,-0.000509183,-0.00903862,0.00138418,-0.269368,-0.00134696,12.408,12.4109,0,0.0208105
0.07,ground hold,9.50431e-09,0.000426775,-0.00277325,0.0125656,0,0,-4.22045e-07,8.24828e-05,-4.82379e-10,-0.0113226,0.128677,-0.123426,0.00421944,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.86364e-06,-7.24238e-06,2.04582e-08,-0.00464189,-0.00673058,0.00144539,-0.109524,-0.0712218,9.47326,9.47416,0,0.713421
0.08,ground hold,6.21845e-09,0.000402564,-0.00259227,0.0100297,0,0,-2.55878e-07,0.00387613,1.85272e-08,-0.0112094,0.128791,-0.123402,0.00051266,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.30115e-06,3.62722e-07,6.02066e-08,0.0134111,-0.00557509,-0.000886052,-0.00115768,0.0261257,9.46369,9.46373,0,0.571243
0.09,ground hold,4.23027e-09,0.000365348,-0.00281867,0.00545897,0,0,-1.34911e-07,0.00329212,1.13143e-08,-0.0111306,0.128869,0.0121117,0.00711797,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.09593e-06,1.69379e-05,1.64577e-07,-0.000960192,-0.0186928,-0.00403107,0.0973966,-0.00977025,9.56761,9.56811,0,0.333548
